Row,smith09_01,smith09_02,smith09_03,smith09_04,smith09_05,smith09_06,smith09_07,smith09_08,smith09_09,smith09_10
melodicIC_001,-0.06,0.1,0.59,-0.06,-0.05,0.03,0.02,-0.1,0.14,0.02
melodicIC_002,0.76,0.21,0.04,-0.01,0,-0.01,-0.07,0.09,-0.04,-0.02
melodicIC_003,-0.03,0.02,-0,0.22,-0.05,-0.03,0.08,-0.05,0.07,0.16
melodicIC_004,0.03,-0.02,-0.05,0.04,-0.06,-0.03,-0.05,-0.01,0.57,0.05
melodicIC_005,0,-0.02,-0.06,-0.08,0,-0,-0.09,-0.04,0.05,0.65
melodicIC_006,-0.03,-0.04,-0.06,-0.08,-0.04,0.09,0.16,0.16,-0.18,0.26
melodicIC_007,0.12,-0.06,-0.02,-0.03,-0,-0.03,0.31,0.17,0.16,0.07
melodicIC_008,0.06,-0.06,-0.07,0.66,0.01,-0.01,-0.09,0.06,0.02,0.01
melodicIC_009,-0.03,0.05,-0.04,-0.18,-0.02,0.09,-0.15,0.42,0.22,-0.02
melodicIC_010,-0.06,0.09,0.06,0.06,0.08,0.38,-0,-0.01,-0.02,0.14
melodicIC_011,0.07,-0.12,0.01,-0.05,-0.08,0.25,-0.13,-0.03,-0.1,-0.06
melodicIC_012,0.02,-0.02,0.32,0.04,-0.02,-0.05,0.06,-0.11,-0.11,0.13
melodicIC_013,-0.01,-0.08,0.01,0.01,0.06,0.23,0.4,-0.05,0.19,-0.1
melodicIC_014,0.04,-0.03,-0,0,-0.04,0.25,0.23,0.02,-0.02,-0
melodicIC_015,-0.01,-0.01,0.02,-0.04,-0.05,-0.12,0.15,0.03,-0.01,0.12
melodicIC_016,-0.12,-0.06,0,0.05,-0.02,-0.08,-0.11,0.27,-0.05,-0.06
melodicIC_017,-0.02,-0.02,0.05,0.04,-0.07,0.04,-0.19,0.03,-0.04,-0.03
melodicIC_018,-0.1,0.14,0.08,0.04,0.04,-0.01,-0.01,0.03,0.01,0
melodicIC_019,-0.1,-0.03,-0.01,0.07,-0.04,-0.09,0.12,0.16,-0.04,-0.02
melodicIC_020,0.04,-0.02,0.12,-0.06,0.26,-0.08,-0.17,-0.05,-0.01,0.01
melodicIC_021,-0.07,0.6,0.09,0,-0.07,0.07,0.04,0.05,-0.05,-0.04
melodicIC_022,-0.09,0.05,0.07,0.01,0.05,-0.04,0.01,-0.03,0.18,-0.05
melodicIC_023,-0.06,0.09,0.04,0.01,-0.02,-0.09,-0.01,0.04,-0.05,0.07
melodicIC_024,0.06,0.01,0.07,0.2,0.28,0.05,0.04,0.13,-0.04,-0.01
melodicIC_025,-0.03,0.02,-0.1,-0.09,0.02,-0.03,0.03,-0.08,-0.02,-0.02
