subj,exclude,abs_mean,rel_mean,pct_removed
587664,0,0.694848,0.068850,0.557906
588565,0,0.200389,0.080521,0.431799
594156,0,0.367096,0.077320,0.435840
599671,1,1.134001,0.117608,0.565758
604537,1,0.869822,0.084679,0.399733
614439,1,1.254181,0.087092,0.438094
615744,0,0.342573,0.076746,0.495965
616645,0,0.404921,0.056822,0.437373
620434,0,0.364422,0.060924,0.520564
622236,0,0.233280,0.066112,0.302867
626648,0,0.280069,0.066091,0.480419
645450,0,0.234586,0.059817,0.379772
645551,0,0.255965,0.063430,0.398464
654350,0,0.290316,0.068892,0.488046
663755,0,0.397154,0.053186,0.458502
668361,0,0.376662,0.083128,0.607536
673455,0,0.464799,0.090195,0.487614
693764,0,0.371316,0.070895,0.537678
701535,0,0.279536,0.069734,0.526879
756055,1,1.337581,0.153233,0.533720
761957,0,0.341243,0.094864,0.526453
774663,0,0.171576,0.053782,0.426992
788876,1,0.362633,0.165366,0.672829
793465,0,0.222700,0.087882,0.367212
803240,0,0.388536,0.072280,0.310079
810843,1,0.814510,0.158642,0.531817
815247,0,0.579221,0.077660,0.487910
816653,0,0.396787,0.071426,0.472093
825654,0,0.236873,0.114367,0.356418
828862,0,0.500225,0.086140,0.364110
833148,0,0.153952,0.039559,0.460761
841349,0,0.321948,0.069046,0.439549
849264,1,0.928699,0.105401,0.534912
856766,0,0.472969,0.096053,0.525847
856968,0,0.288662,0.103985,0.373367
865363,0,0.475870,0.066721,0.543928
872562,0,0.276496,0.059798,0.545946
873968,0,0.320767,0.075239,0.403080
877269,0,0.500144,0.083932,0.507790
880157,0,0.334742,0.068107,0.447704
894067,0,0.426940,0.107754,0.522379
902242,0,0.477061,0.057884,0.388857
904044,0,0.196956,0.077898,0.582556
922854,0,0.268041,0.142884,0.420962
930449,0,0.305380,0.059730,0.373002
932554,0,0.128295,0.052022,0.442171
942658,0,0.194787,0.069218,0.392888
952863,0,0.317427,0.083947,0.477944
965367,0,0.293682,0.052328,0.571157
979984,0,0.479830,0.129381,0.460459
987074,0,0.723363,0.062156,0.559158
990366,0,0.283592,0.083079,0.603204
993675,0,0.262201,0.088787,0.535459
