subj,Social_Act,Social_FC,Social_PPIdiff,WM_Act,WM_FC,WM_PPIdiff,Emotion_Act,Emotion_FC,Emotion_PPIdiff,Gambling_Act,Gambling_FC,Gambling_PPIdiff
100206,15.539824,-0.049109,0.082746,-12.427006,0.300300,-0.111283,5.304921,0.017961,0.008188,-2.488477,-0.077437,0.020539
101309,-5.487147,0.044472,0.135431,-6.790150,0.198029,0.234076,-5.053822,-0.036958,-0.139239,11.673949,-0.046334,-0.107491
101410,14.342327,0.168963,0.127367,-15.209442,0.385187,0.090826,-8.966814,-0.047215,0.063575,-4.223376,0.102490,-0.005562
101915,10.654566,-0.039974,-0.055332,-3.051107,0.221087,0.103447,2.001158,-0.022405,-0.001885,-7.392825,-0.033473,-0.000954
105923,0.645067,0.275618,0.069417,-0.973909,0.182683,0.070746,-2.156721,-0.026565,-0.080131,-11.092791,0.059214,-0.042895
108525,12.139197,-0.063869,0.058759,2.026724,0.081586,-0.109166,0.003759,-0.049372,-0.049790,4.887870,0.131306,-0.085886
109325,7.237242,0.068648,-0.015581,1.945595,0.179055,0.098060,-0.860442,0.289851,-0.193182,-7.168368,0.074514,-0.026580
110411,-39.987193,0.139212,0.296425,-18.058398,0.312796,0.106579,-6.991527,0.063554,0.076188,2.379096,0.029853,-0.113469
111716,0.236075,0.057327,-0.088353,-1.110886,0.337219,0.169786,-3.714622,0.034155,-0.056716,-7.777441,-0.054708,-0.043384
112314,-5.104551,0.185641,0.010350,1.641914,0.212810,0.037819,-5.707926,-0.145478,-0.010117,1.236111,0.000199,-0.064132
112920,2.275181,0.084903,0.053988,-1.212344,0.035061,-0.144419,-1.035046,0.120749,0.124948,6.638981,0.067817,-0.001877
113215,7.447273,0.065175,0.073232,0.224478,-0.020015,-0.103421,-4.088277,0.315337,-0.049392,2.436887,0.017897,-0.033555
114823,13.464923,0.166388,-0.036131,-18.317506,0.228189,-0.015186,-8.299310,0.036252,-0.136568,4.698105,-0.005967,-0.058187
118124,-6.061103,0.077455,-0.101620,-1.534504,0.210119,-0.216756,-6.167045,-0.003054,-0.058603,-1.223529,0.047934,0.045925
118528,6.715264,0.125046,0.009749,-2.911123,-0.066181,0.033855,-4.027950,0.075161,0.121805,2.496809,-0.043263,-0.013386
