subj,WorkingMemory,Reward
100206,-0.673118,0.204382
101309,-0.244820,-1.150894
101410,-0.898278,0.790398
101915,-0.452169,-0.583733
105923,-0.138253,0.571521
108525,-1.096355,0.701716
109325,0.463627,-1.606390
110411,-1.700019,0.667083
111716,-3.207306,-1.537659
112314,-1.727214,-0.773829
112920,-3.931717,-0.702177
113215,-1.166131,-0.275258
114823,0.076893,0.483485
118124,-0.280401,-1.801528
118528,-1.017390,-1.838883
118932,-0.941312,-1.629554
119126,-2.291999,1.363593
119732,1.058828,-0.813508
120515,-0.155671,-0.500309
121416,-1.777310,1.770886
122317,-1.529324,0.675647
124624,-3.475378,1.339693
127327,0.175563,1.260489
127630,-0.986580,-0.001175
129634,-1.948657,-0.189303
130922,1.113795,0.284389
135225,-0.542929,-0.479146
135629,-4.586422,2.073399
135932,-3.282883,1.078728
137633,-1.866310,0.078765
138231,0.890811,-0.393918
142828,0.370047,0.236308
144832,0.174391,2.706190
146533,-0.246170,0.105133
147737,-1.726345,1.074118
150019,-5.119751,0.796232
150625,-1.233279,-1.007440
151021,1.475147,-0.094354
151627,-0.378343,-0.370901
151829,-6.403776,0.429218
152427,-2.517599,-2.346098
153025,-2.919960,0.155542
153126,-0.391340,-0.086444
153631,-1.102690,-1.578084
154734,-0.209553,1.051891
155635,-3.053127,1.230145
156637,0.314296,-0.136962
157437,-0.090021,0.827607
158035,-1.579106,0.379989
159744,0.263589,-0.559793
162228,0.037734,-3.148674
162733,-1.533692,-0.464523
164939,-1.922178,2.530732
165941,-0.159325,0.347653
166640,-0.441991,-0.233912
168139,-3.945969,0.159000
169545,-2.337577,0.436228
173233,0.483353,-0.933391
173435,-1.742878,-0.600328
173536,-3.466229,0.837915
173839,-1.225576,-2.402242
173940,-0.978814,-0.564217
174437,-0.704694,2.096670
175136,-2.805576,2.498576
175338,-0.815549,-0.670963
175742,-3.001898,-0.046353
176441,-1.746020,0.389627
176845,-1.821431,-0.180727
178748,0.630038,-0.426199
178950,-3.458085,-0.174987
180230,-0.741221,0.104685
180836,0.884270,-0.902444
181131,-0.975085,-0.114875
187143,-2.844371,1.214947
188145,-1.341883,-0.370532
188347,0.085332,0.991469
188448,-2.582779,2.432763
188549,-0.685416,-0.688201
191235,1.736145,0.666367
192843,-1.729831,-0.693995
193239,2.174407,0.541486
196144,-3.232172,0.001350
196346,-2.102014,-0.772515
198350,-2.828329,0.762364
199958,1.576364,1.048975
202113,0.410507,0.439371
204622,-1.205171,0.349946
206828,1.895978,-0.969205
208125,-3.718755,1.673973
208226,0.579036,-0.174876
208327,-0.552840,-2.695774
209935,0.670318,-2.575134
210415,-1.378343,0.999862
211114,-0.150123,0.591715
211215,1.180769,2.809014
211619,-0.042618,1.436299
211720,-2.217655,2.088460
217429,-3.096044,-0.177056
224022,-0.430717,1.653248
237334,-1.466699,-1.779805
250932,-0.787789,-0.211316
256540,1.248178,-0.654360
275645,-5.691806,1.943007
304020,2.733881,-0.720847
305830,0.618287,-0.782047
308331,0.575932,0.987841
317332,3.653972,-1.754645
329844,-1.169990,-2.951374
334635,-0.203283,0.560199
346137,-3.017229,-0.891295
349244,-1.630405,-0.421809
350330,-0.829122,0.474565
355239,-0.415249,1.719457
378857,1.138733,-0.626116
379657,-0.296736,-0.269192
381543,-1.678604,-0.111700
394956,-1.560936,1.269700
406432,-1.817127,1.224367
419239,0.030150,-0.009982
436239,-1.345314,1.337218
445543,-0.700782,0.868260
459453,0.312239,-0.185256
475855,0.386232,-0.061996
510326,-0.225659,-1.093566
513736,-1.177260,0.007529
522434,-0.228484,0.670651
529549,-2.256544,-0.792923
530635,-1.162490,-0.284924
540436,-1.437599,-1.278020
553344,-2.452688,-0.368201
555651,-0.071445,-1.229149
559457,-0.948926,0.533660
566454,-1.694910,-0.404215
571144,-1.548413,0.791338
580650,-0.206393,0.929621
581349,-1.027817,0.079585
587664,-1.683096,-0.138062
588565,-4.751203,1.119139
594156,-1.879518,0.185579
599671,-0.601484,-0.359685
604537,0.833183,0.919554
614439,0.857634,-1.184500
615744,-1.136730,0.011453
616645,-4.209550,3.536881
620434,-1.956215,2.228558
622236,-0.630176,1.719805
626648,0.307728,0.219299
645450,-0.957475,0.273578
645551,-1.231967,-0.428644
654350,1.231343,0.110493
663755,0.750600,-1.159364
668361,NaN,0.411251
673455,-1.447432,-1.287089
693764,-0.899491,0.578444
701535,0.879538,1.089542
756055,-1.543387,0.096114
761957,-0.127433,1.500131
774663,0.213203,1.455030
788876,0.083325,1.700862
793465,-2.963222,1.389267
803240,-3.117497,1.315196
810843,-0.261593,2.527574
815247,-0.309524,-0.607411
816653,-4.331450,0.076130
825654,-2.252454,0.417573
828862,-0.779442,1.694730
833148,0.228685,0.432821
841349,-0.757548,0.451528
849264,-0.279002,0.723431
856766,1.161260,-0.199679
856968,0.884119,0.489054
865363,-2.042119,-2.122563
872562,-1.278045,0.271751
873968,-3.706309,-2.360838
877269,1.198262,-0.597397
880157,-0.641670,0.823661
894067,-1.361942,0.653253
902242,-1.551967,0.418081
904044,-2.449096,-1.944846
922854,-1.944889,-1.804660
930449,-0.742108,-0.134480
932554,-0.740321,-1.207326
942658,-2.914327,-0.417595
952863,-3.118659,0.633413
965367,-3.950969,-0.227800
979984,-0.635841,-0.091582
987074,-2.011636,-1.098059
990366,-2.159866,-0.247830
993675,-2.662647,-0.500321
