subj,WorkingMemory,Reward
100206,3.225009,0.678956
101309,-1.352235,1.759673
101410,-0.874280,-0.158324
101915,-1.294267,-1.226961
105923,0.682079,1.055042
108525,0.451640,-0.255522
109325,-1.088539,-0.638754
110411,-2.706259,0.071215
111716,-2.813677,-0.456045
112314,-2.122720,-1.266396
112920,-4.931098,-0.859967
113215,-3.634951,0.413048
114823,-1.062352,-0.788697
118124,-0.328175,-0.996492
118528,-3.464214,-0.179604
118932,-0.102460,-0.514845
119126,-0.395289,1.129354
119732,0.636384,-3.958528
120515,-1.136544,0.286314
121416,0.358987,-1.430148
122317,-2.180098,-0.024351
124624,-0.519268,0.404889
127327,0.484144,-0.026297
127630,0.016518,0.530309
129634,-2.923822,0.150814
130922,-1.404612,-0.306015
135225,-1.946808,-0.234393
135629,-3.253205,1.454220
135932,-1.053033,-0.307313
137633,-1.068360,0.515438
138231,-3.282285,-0.844429
142828,-0.474364,-0.847315
144832,-1.587665,0.778548
146533,-0.895397,1.686634
147737,0.769027,2.108378
150019,-3.688923,-1.045383
150625,-1.191187,-1.550016
151021,1.666162,-0.970754
151627,-1.681567,-1.257636
151829,-2.730299,-1.411930
152427,-1.635076,-0.273240
153025,-1.011864,-1.245933
153126,-1.969470,-0.312134
153631,-3.061572,-0.066792
154734,0.114338,-0.641200
155635,-2.701984,0.742413
156637,-1.561290,-0.071889
157437,0.415870,0.689960
158035,1.621328,-2.024923
159744,-1.121878,1.905382
162228,-1.937273,-0.992169
162733,-0.876883,0.202625
164939,-1.272485,0.231235
165941,0.675969,0.073379
166640,-1.190983,0.593519
168139,-1.444911,1.814557
169545,-1.738809,-0.263120
173233,-1.521172,0.262083
173435,-2.472181,-0.975326
173536,-2.433793,-1.568848
173839,-3.282453,0.996190
173940,-3.531532,1.123510
174437,0.268829,-0.120079
175136,-0.213869,-1.249382
175338,0.596098,1.666564
175742,-3.455457,-1.408350
176441,-1.818911,1.150878
176845,-2.375040,-1.918853
178748,0.775267,-1.934574
178950,-3.380993,-2.127313
180230,-2.914935,-0.957585
180836,-0.026400,-1.093555
181131,-0.174018,-1.262719
187143,-1.228244,-1.240325
188145,-1.244413,0.894994
188347,-1.102361,-1.517721
188448,-1.126509,0.887662
188549,-2.281829,0.840199
191235,0.655673,0.529784
192843,-0.123009,-1.416354
193239,-0.419171,-0.807956
196144,-2.135102,1.306796
196346,-1.554975,0.071535
198350,-0.672710,-0.037801
199958,0.252676,0.529959
202113,0.138478,0.302646
204622,-1.569884,-0.589705
206828,-1.501114,-0.395670
208125,-3.521022,1.560309
208226,0.013668,1.750571
208327,-0.623936,1.550253
209935,-0.821973,0.102368
210415,0.360564,-0.296683
211114,0.286960,-0.769847
211215,-0.137890,0.597037
211619,-0.917043,0.738341
211720,0.255731,0.674846
217429,-2.031285,-1.050825
224022,-0.567326,0.678945
237334,-3.193678,-1.597055
250932,-0.658385,-1.324793
256540,0.280455,-0.844200
275645,-2.635061,-1.295836
304020,-0.446911,0.465517
305830,-0.435126,2.725381
308331,0.912706,2.059742
317332,0.552762,-2.799390
329844,-0.345284,-0.857732
334635,0.693579,1.865626
346137,2.363439,-0.177978
349244,-0.401800,1.027602
350330,0.416436,0.376854
355239,-0.076739,0.606344
378857,-1.450407,-0.230912
379657,-1.561578,-0.470615
381543,-3.617967,-0.289333
394956,-1.390509,-0.448803
406432,0.863498,-0.431013
419239,-1.524194,-1.030051
436239,-1.258187,0.799686
445543,0.352924,-0.963913
459453,-0.039964,0.291755
475855,-1.598945,-1.680384
510326,-1.118545,-1.273371
513736,-2.745020,2.470734
522434,-0.561013,-1.809056
529549,-3.174174,0.259025
530635,-1.568092,1.511768
540436,1.167074,0.267052
553344,-3.735690,0.913588
555651,-1.170898,0.436406
559457,-1.628501,1.062576
566454,-3.999420,-0.478617
571144,0.455284,-0.026736
580650,0.884595,0.607729
581349,-2.047289,-0.751946
587664,-0.637408,-0.397108
588565,-3.386290,0.778383
594156,-0.718300,-0.306118
599671,-1.792068,-0.670940
604537,-1.863760,0.448002
614439,1.394242,-0.332665
615744,0.516356,0.893976
616645,-2.229220,0.773891
620434,-2.374474,0.192717
622236,-4.216418,0.119590
626648,-3.672226,-1.478950
645450,-0.653328,0.334943
645551,-2.374670,0.137314
654350,0.602483,0.586980
663755,-2.232726,-0.666256
668361,NaN,2.099587
673455,1.454556,0.132567
693764,-3.178132,0.813113
701535,2.506335,0.315078
756055,-0.042948,-1.608210
761957,0.150428,-0.842523
774663,-3.600737,3.895120
788876,-1.206946,1.030167
793465,0.355261,1.227051
803240,1.313126,0.739877
810843,1.646677,0.385879
815247,-3.150886,-0.240468
816653,-1.537320,-1.025809
825654,-0.892557,-0.509720
828862,-3.387760,1.021931
833148,-0.183257,0.891860
841349,-5.379905,1.411447
849264,1.722412,0.424063
856766,-1.108311,0.733166
856968,-6.040858,1.378476
865363,0.143810,0.077028
872562,-3.884113,0.178004
873968,-2.888750,-1.547044
877269,0.084831,0.810449
880157,0.238441,2.416143
894067,0.347626,1.156532
902242,-2.656227,-0.345950
904044,0.238489,-1.647667
922854,-3.589345,0.230271
930449,0.036179,-0.889806
932554,0.845014,1.562518
942658,0.093591,-0.473661
952863,0.691914,-0.240865
965367,0.057197,-0.691387
979984,-3.382381,1.545513
987074,-0.751837,-1.173262
990366,0.836282,-2.247444
993675,0.676873,1.060187
