subj,WorkingMemory,Reward
100206,-17.356077,1.612729
101309,-34.397681,19.907533
101410,-10.132039,-3.809397
101915,-0.563238,3.412673
105923,1.649796,2.684337
108525,7.409624,4.799924
109325,-4.481841,-4.553995
110411,2.182046,-20.095462
111716,-1.348625,-15.939564
112314,1.268323,13.509787
112920,-4.759889,-1.469300
113215,-0.099801,7.119523
114823,-2.020091,-0.648166
118124,2.402229,-6.741050
118528,-0.859382,3.857825
118932,3.310129,-9.880359
119126,-6.487322,-2.523237
119732,6.725792,9.618350
120515,10.297262,-0.075745
121416,-0.417716,-0.253994
122317,0.224348,0.716630
124624,-0.328052,-10.616516
127327,-6.059518,6.770907
127630,5.496510,-2.380189
129634,4.350815,3.073070
130922,3.594555,2.646822
135225,-0.509545,6.161579
135629,-2.401929,8.971326
135932,11.828518,-4.770838
137633,-9.429370,12.820536
138231,5.738445,2.084799
142828,0.005394,3.682256
144832,-1.639671,6.067825
146533,0.395949,9.625070
147737,9.447229,6.883311
150019,1.932777,-20.631286
150625,2.637450,1.202629
151021,-2.878335,7.729971
151627,-23.383674,5.285504
151829,0.773029,-1.495481
152427,6.786193,-13.572851
153025,10.491560,3.958041
153126,-3.966499,12.230687
153631,-4.468413,1.193157
154734,5.640669,-5.536580
155635,0.212539,-18.853897
156637,2.171187,-7.125023
157437,4.053169,5.359389
158035,5.234244,6.002438
159744,2.591363,4.406650
162228,-8.133439,16.030837
162733,-5.433427,7.495151
164939,-9.751022,-8.825815
165941,10.304041,6.242737
166640,-4.026309,6.049896
168139,-30.815804,-1.813525
169545,-13.410216,-4.399157
173233,11.474973,-2.001119
173435,12.660903,-16.300104
173536,8.006570,-6.942311
173839,-3.212649,0.744263
173940,-3.572441,14.113304
174437,-8.403225,-3.976913
175136,1.745357,0.682248
175338,-7.669208,-0.447825
175742,-3.994322,0.694175
176441,0.789768,11.435014
176845,4.258232,-0.901008
178748,0.962272,-0.440710
178950,-0.738009,2.039615
180230,3.822995,9.799708
180836,-12.969071,7.788599
181131,-13.407880,1.562684
187143,-0.715134,-6.369903
188145,4.420689,1.958829
188347,-2.931832,3.202704
188448,-14.086792,10.847310
188549,-3.312136,6.358906
191235,-5.952908,-1.303179
192843,3.979047,-4.140787
193239,-5.980467,5.286002
196144,15.471420,-38.598607
196346,-0.913983,-16.487586
198350,7.628747,1.049138
199958,6.120703,-0.579846
202113,14.792569,-5.231933
204622,-0.651410,3.201895
206828,-5.266642,-4.163268
208125,-6.876427,-0.083473
208226,8.779220,-28.823860
208327,-2.859128,0.408587
209935,-1.900392,-9.782272
210415,-7.592040,10.364525
211114,5.798746,24.459693
211215,1.245377,15.383417
211619,-0.091628,-9.662641
211720,-9.942630,2.300189
217429,-6.581924,-2.440452
224022,-17.581384,-14.622014
237334,-5.673388,19.005307
250932,3.057393,-4.091000
256540,2.886734,5.467271
275645,-11.995250,12.665884
304020,2.506622,1.663707
305830,-1.602675,-7.767874
308331,-0.366292,11.324978
317332,-8.063022,8.856128
329844,-0.779100,-11.820424
334635,5.934157,-5.731150
346137,-1.839418,-0.609387
349244,-2.846639,-31.386726
350330,-0.008359,-3.511324
355239,12.866191,-1.977395
378857,15.138067,11.003720
379657,-7.910601,-8.931780
381543,4.312822,-2.455361
394956,-7.967176,-7.589101
406432,6.042769,-12.056712
419239,-0.932066,6.456963
436239,-10.145708,7.182808
445543,2.174814,-6.908793
459453,-2.330284,2.131104
475855,3.810250,1.210075
510326,-4.461529,1.643864
513736,-7.088049,8.058142
522434,2.891633,-2.616786
529549,-18.455963,1.166221
530635,1.113058,-7.302914
540436,-4.811144,3.259666
553344,4.580871,-1.351985
555651,-0.074514,1.469080
559457,5.640622,14.379563
566454,12.422867,-8.010021
571144,0.032993,5.889112
580650,0.563260,2.623187
581349,5.137866,-1.831252
587664,7.452499,5.549877
588565,2.442706,1.625942
594156,-0.957003,-5.587612
599671,-14.801225,-6.114417
604537,-6.045960,3.267169
614439,10.417599,12.711569
615744,-0.385232,-1.051519
616645,-4.878907,18.417278
620434,-8.818975,5.351958
622236,-11.498079,13.071034
626648,1.420813,8.292489
645450,8.524366,2.271564
645551,-6.419568,-9.708805
654350,2.063373,-5.010845
663755,4.725441,-3.240859
668361,NaN,16.734545
673455,5.770116,-11.924667
693764,-13.261945,-5.637468
701535,0.479796,-6.468579
756055,-23.197719,43.127864
761957,2.131855,4.676344
774663,-0.488627,-1.079649
788876,-3.452885,20.819127
793465,3.486253,-3.974910
803240,12.653373,-8.270559
810843,10.060711,17.919462
815247,-4.885731,-1.370438
816653,7.022655,-0.106991
825654,-1.756243,7.368473
828862,-7.900089,-2.669362
833148,-0.246154,2.798522
841349,3.327090,-4.628002
849264,7.189738,-11.833538
856766,4.741171,0.311503
856968,-0.606286,-4.174379
865363,12.523424,-0.566470
872562,-47.033863,2.591812
873968,-21.322857,-11.473937
877269,3.960605,0.190457
880157,-3.050947,0.953032
894067,12.340325,10.344948
902242,-5.783519,-4.379891
904044,2.495561,4.146976
922854,-12.561832,17.141461
930449,0.464649,5.867677
932554,14.410786,6.320116
942658,20.596121,7.894551
952863,-6.583669,6.543677
965367,4.005240,3.749945
979984,2.469927,-17.388666
987074,0.925753,13.863779
990366,0.044931,-3.476237
993675,-6.185443,6.544704
