subj,task,run,abs_mean,rel_mean,pct_removed
159744,SOCIAL,RL,0.363493,0.064423,0.586207
162228,SOCIAL,LR,0.287405,0.060668,0.366667
162228,SOCIAL,RL,0.286482,0.064990,0.312500
162733,SOCIAL,LR,0.330624,0.109660,0.255814
162733,SOCIAL,RL,0.248605,0.130249,0.307692
164939,SOCIAL,LR,1.630020,0.118687,0.457143
164939,SOCIAL,RL,0.987610,0.092625,0.459459
165941,SOCIAL,LR,0.116954,0.116769,0.432432
165941,SOCIAL,RL,0.146224,0.092536,0.428571
166640,SOCIAL,LR,1.035990,0.133410,0.375000
166640,SOCIAL,RL,1.465340,0.137672,0.413043
168139,SOCIAL,LR,0.435084,0.131445,0.142857
168139,SOCIAL,RL,0.300640,0.092971,0.184211
169545,SOCIAL,LR,0.340223,0.086940,0.411765
169545,SOCIAL,RL,0.522793,0.058870,0.444444
173233,SOCIAL,LR,0.781171,0.053353,0.375000
173233,SOCIAL,RL,0.227919,0.054828,0.343750
173435,SOCIAL,LR,0.252620,0.044626,0.323529
173435,SOCIAL,RL,0.207653,0.044596,0.375000
173536,SOCIAL,LR,0.250719,0.051111,0.461538
173536,SOCIAL,RL,0.369024,0.049940,0.538462
173839,SOCIAL,LR,1.230790,0.096644,0.384615
173839,SOCIAL,RL,0.976144,0.120980,0.444444
173940,SOCIAL,LR,0.215976,0.058195,0.411765
173940,SOCIAL,RL,0.153710,0.054156,0.363636
174437,SOCIAL,LR,0.197217,0.106293,0.346154
174437,SOCIAL,RL,0.323243,0.083308,0.409091
175136,SOCIAL,LR,0.290869,0.060359,0.382353
175136,SOCIAL,RL,0.247270,0.055809,0.466667
175338,SOCIAL,LR,0.248482,0.063688,0.465116
175338,SOCIAL,RL,0.394874,0.059979,0.476190
175742,SOCIAL,LR,0.389463,0.056112,0.434783
175742,SOCIAL,RL,0.425352,0.053143,0.500000
176441,SOCIAL,LR,0.718121,0.107521,0.578947
176441,SOCIAL,RL,0.792899,0.140945,0.612903
176845,SOCIAL,LR,0.295239,0.087216,0.454545
176845,SOCIAL,RL,0.519978,0.084498,0.400000
178748,SOCIAL,LR,0.652956,0.115584,0.605634
178748,SOCIAL,RL,0.350793,0.073316,0.500000
178950,SOCIAL,LR,0.197510,0.056485,0.300000
178950,SOCIAL,RL,0.156242,0.051960,0.448276
180230,SOCIAL,LR,0.229763,0.073649,0.482759
180230,SOCIAL,RL,0.485376,0.075155,0.466667
180836,SOCIAL,LR,0.402672,0.126072,0.552632
180836,SOCIAL,RL,0.426915,0.106824,0.620690
181131,SOCIAL,LR,0.899279,0.110364,0.323529
181131,SOCIAL,RL,0.661108,0.127288,0.607143
187143,SOCIAL,LR,0.178378,0.116548,0.294118
187143,SOCIAL,RL,0.182768,0.090377,0.400000
188145,SOCIAL,LR,0.274016,0.111463,0.478261
188145,SOCIAL,RL,0.233291,0.088731,0.583333
188347,SOCIAL,LR,0.110268,0.086784,0.593750
188347,SOCIAL,RL,0.092078,0.065591,0.483871
188448,SOCIAL,LR,0.082382,0.046686,0.393939
188448,SOCIAL,RL,0.071961,0.052717,0.343750
188549,SOCIAL,LR,0.175001,0.098967,0.333333
188549,SOCIAL,RL,0.131095,0.094770,0.391304
191235,SOCIAL,LR,0.261462,0.103986,0.536585
191235,SOCIAL,RL,0.526981,0.111239,0.531915
192843,SOCIAL,LR,0.591187,0.065863,0.424242
192843,SOCIAL,RL,0.499620,0.060186,0.312500
193239,SOCIAL,LR,0.668105,0.056120,0.517241
193239,SOCIAL,RL,0.324248,0.063268,0.592593
196144,SOCIAL,LR,0.096357,0.091904,0.535714
196144,SOCIAL,RL,0.237722,0.097997,0.576923
196346,SOCIAL,LR,0.329144,0.075622,0.259259
196346,SOCIAL,RL,0.153648,0.073707,0.384615
198350,SOCIAL,LR,0.317321,0.095349,0.380952
198350,SOCIAL,RL,1.681410,0.105823,0.543478
199958,SOCIAL,LR,0.198525,0.094900,0.375000
199958,SOCIAL,RL,0.185004,0.096845,0.406250
202113,SOCIAL,LR,0.386596,0.073602,0.400000
202113,SOCIAL,RL,0.187704,0.051169,0.311111
204622,SOCIAL,LR,1.707230,0.116185,0.277778
204622,SOCIAL,RL,0.334952,0.083514,0.485714
206828,SOCIAL,LR,0.280571,0.078179,0.352941
206828,SOCIAL,RL,0.160499,0.097778,0.433333
208125,SOCIAL,LR,0.220458,0.081391,0.366667
208125,SOCIAL,RL,0.274560,0.052834,0.333333
208226,SOCIAL,LR,0.323976,0.083447,0.361111
208226,SOCIAL,RL,0.616390,0.070386,0.432432
208327,SOCIAL,LR,0.453528,0.051793,0.366667
208327,SOCIAL,RL,0.112077,0.048067,0.250000
209935,SOCIAL,LR,0.457761,0.046959,0.482759
209935,SOCIAL,RL,0.762800,0.104770,0.452381
210415,SOCIAL,LR,0.301836,0.200285,0.645161
210415,SOCIAL,RL,0.170096,0.164674,0.428571
211114,SOCIAL,LR,0.203707,0.127132,0.548387
211114,SOCIAL,RL,0.519898,0.129465,0.609756
211215,SOCIAL,LR,0.148641,0.065153,0.500000
211215,SOCIAL,RL,0.128553,0.056417,0.458333
211619,SOCIAL,LR,0.348288,0.091641,0.500000
211619,SOCIAL,RL,0.369862,0.058866,0.535714
211720,SOCIAL,LR,0.432958,0.100826,0.325000
211720,SOCIAL,RL,0.154364,0.080736,0.222222
217429,SOCIAL,LR,0.171557,0.050960,0.576923
217429,SOCIAL,RL,0.195783,0.052972,0.357143
224022,SOCIAL,LR,0.679663,0.166139,0.517241
224022,SOCIAL,RL,1.226760,0.163320,0.571429
237334,SOCIAL,LR,0.206370,0.104940,0.466667
237334,SOCIAL,RL,0.171933,0.102830,0.500000
250932,SOCIAL,LR,0.383714,0.050619,0.461538
250932,SOCIAL,RL,0.653664,0.063162,0.480000
256540,SOCIAL,LR,0.258290,0.066869,0.375000
256540,SOCIAL,RL,0.147937,0.096514,0.458333
275645,SOCIAL,LR,0.228281,0.077208,0.475000
275645,SOCIAL,RL,0.413760,0.105589,0.466667
304020,SOCIAL,LR,0.443721,0.098965,0.518519
304020,SOCIAL,RL,0.273621,0.103572,0.615385
305830,SOCIAL,LR,0.217488,0.119982,0.434783
305830,SOCIAL,RL,0.174450,0.102696,0.434783
308331,SOCIAL,LR,0.432631,0.089505,0.571429
308331,SOCIAL,RL,0.465520,0.109860,0.735849
317332,SOCIAL,LR,NaN,NaN,NaN
317332,SOCIAL,RL,NaN,NaN,NaN
329844,SOCIAL,LR,0.229642,0.085543,0.576923
329844,SOCIAL,RL,0.111429,0.078945,0.346154
334635,SOCIAL,LR,0.411864,0.102723,0.384615
334635,SOCIAL,RL,0.435361,0.088595,0.333333
346137,SOCIAL,LR,0.802473,0.109473,0.424242
346137,SOCIAL,RL,0.505622,0.120901,0.555556
349244,SOCIAL,LR,0.258876,0.073433,0.419355
349244,SOCIAL,RL,0.190908,0.047498,0.393939
350330,SOCIAL,LR,0.803385,0.054285,0.370370
350330,SOCIAL,RL,0.573890,0.064309,0.520000
355239,SOCIAL,LR,0.213724,0.182664,0.413793
355239,SOCIAL,RL,0.335949,0.143319,0.535714
378857,SOCIAL,LR,0.396628,0.068998,0.421053
378857,SOCIAL,RL,0.549486,0.076167,0.540541
379657,SOCIAL,LR,1.222150,0.086103,0.617647
379657,SOCIAL,RL,0.583649,0.070017,0.516129
381543,SOCIAL,LR,0.116498,0.068502,0.470588
381543,SOCIAL,RL,0.961853,0.061092,0.444444
394956,SOCIAL,LR,0.544060,0.055278,0.535714
394956,SOCIAL,RL,0.306443,0.054682,0.461538
406432,SOCIAL,LR,0.378282,0.087042,0.531250
406432,SOCIAL,RL,0.286607,0.072013,0.558824
419239,SOCIAL,LR,0.415908,0.126565,0.535714
419239,SOCIAL,RL,0.241829,0.122145,0.535714
436239,SOCIAL,LR,0.408134,0.066087,0.600000
436239,SOCIAL,RL,0.230584,0.066430,0.458333
445543,SOCIAL,LR,0.657675,0.112975,0.615385
445543,SOCIAL,RL,0.406628,0.109445,0.433333
459453,SOCIAL,LR,0.118409,0.071165,0.321429
459453,SOCIAL,RL,0.309284,0.051452,0.480000
475855,SOCIAL,LR,0.162099,0.079776,0.413793
475855,SOCIAL,RL,0.432774,0.082785,0.433333
510326,SOCIAL,LR,0.218623,0.082355,0.312500
510326,SOCIAL,RL,0.435272,0.084642,0.481481
513736,SOCIAL,LR,0.475539,0.068765,0.384615
513736,SOCIAL,RL,0.492650,0.062368,0.320000
522434,SOCIAL,LR,0.104369,0.083083,0.444444
522434,SOCIAL,RL,0.121418,0.070134,0.461538
529549,SOCIAL,LR,0.169312,0.092759,0.393939
529549,SOCIAL,RL,0.172068,0.068621,0.241379
530635,SOCIAL,LR,0.287843,0.108549,0.461538
530635,SOCIAL,RL,0.269370,0.111117,0.375000
540436,SOCIAL,LR,0.180154,0.050619,0.366667
540436,SOCIAL,RL,0.228796,0.056410,0.545455
553344,SOCIAL,LR,0.230626,0.069331,0.354839
553344,SOCIAL,RL,0.311187,0.065521,0.323529
555651,SOCIAL,LR,0.123903,0.061345,0.272727
555651,SOCIAL,RL,0.112474,0.058836,0.354839
559457,SOCIAL,LR,0.213374,0.095137,0.388889
559457,SOCIAL,RL,0.182781,0.078690,0.343750
566454,SOCIAL,LR,0.470487,0.099305,0.566667
566454,SOCIAL,RL,0.152178,0.094866,0.484848
571144,SOCIAL,LR,0.207988,0.074677,0.481481
571144,SOCIAL,RL,0.160099,0.067129,0.407407
580650,SOCIAL,LR,0.398713,0.116496,0.520000
580650,SOCIAL,RL,0.519077,0.112466,0.521739
581349,SOCIAL,LR,0.386577,0.112400,0.400000
581349,SOCIAL,RL,0.384876,0.116644,0.466667
587664,SOCIAL,LR,0.553558,0.082914,0.545455
587664,SOCIAL,RL,0.251978,0.063774,0.531250
588565,SOCIAL,LR,0.182848,0.084635,0.281250
588565,SOCIAL,RL,0.140892,0.094759,0.310345
594156,SOCIAL,LR,0.424782,0.082165,0.428571
594156,SOCIAL,RL,0.284829,0.071807,0.290323
599671,SOCIAL,LR,0.262120,0.086955,0.680851
599671,SOCIAL,RL,0.055306,0.058026,0.343750
604537,SOCIAL,LR,0.382339,0.107332,0.300000
604537,SOCIAL,RL,0.894957,0.072549,0.309524
614439,SOCIAL,LR,0.785841,0.094743,0.491228
614439,SOCIAL,RL,0.797567,0.072159,0.435897
615744,SOCIAL,LR,0.247875,0.092786,0.533333
615744,SOCIAL,RL,0.353587,0.062752,0.481481
616645,SOCIAL,LR,0.471274,0.054467,0.468750
616645,SOCIAL,RL,0.349844,0.049372,0.379310
620434,SOCIAL,LR,0.391790,0.058017,0.466667
620434,SOCIAL,RL,0.527245,0.068256,0.515152
622236,SOCIAL,LR,0.186531,0.066744,0.233333
622236,SOCIAL,RL,0.215472,0.061661,0.310345
626648,SOCIAL,LR,0.239715,0.075396,0.423077
626648,SOCIAL,RL,0.186185,0.058913,0.416667
645450,SOCIAL,LR,0.143686,0.071241,0.333333
645450,SOCIAL,RL,0.095012,0.061351,0.314286
645551,SOCIAL,LR,0.153816,0.068917,0.457143
645551,SOCIAL,RL,0.331595,0.057964,0.343750
654350,SOCIAL,LR,0.094163,0.065555,0.464286
654350,SOCIAL,RL,0.332409,0.069244,0.441176
663755,SOCIAL,LR,0.645014,0.052845,0.448276
663755,SOCIAL,RL,0.464087,0.052003,0.384615
668361,SOCIAL,LR,0.284537,0.089158,0.483871
668361,SOCIAL,RL,0.848604,0.092902,0.500000
673455,SOCIAL,LR,0.469110,0.086004,0.435897
673455,SOCIAL,RL,0.236021,0.078610,0.451613
693764,SOCIAL,LR,0.289086,0.074264,0.433333
693764,SOCIAL,RL,0.228654,0.054741,0.444444
701535,SOCIAL,LR,0.516412,0.059198,0.475000
701535,SOCIAL,RL,0.419565,0.065213,0.473684
756055,SOCIAL,LR,0.813661,0.157123,0.420000
756055,SOCIAL,RL,1.374400,0.170429,0.490196
761957,SOCIAL,LR,0.357728,0.093879,0.568182
761957,SOCIAL,RL,0.489854,0.092868,0.538462
774663,SOCIAL,LR,0.124555,0.051111,0.375000
774663,SOCIAL,RL,0.166794,0.045718,0.428571
788876,SOCIAL,LR,0.581828,0.137189,0.586207
788876,SOCIAL,RL,0.178191,0.143875,0.739130
793465,SOCIAL,LR,0.289689,0.089054,0.342105
