subj,abs_mean,rel_mean,pct_removed
100206,0.667673,0.052858,0.343638
101309,0.514209,0.051069,0.449642
101410,0.875908,0.099262,0.433419
101915,0.447543,0.069033,0.454052
105923,0.168618,0.051516,0.352735
108525,0.571460,0.073354,0.336228
109325,0.260922,0.136054,0.488262
110411,0.412784,0.052151,0.349496
111716,1.272877,0.088174,0.531475
112314,0.445532,0.062617,0.272994
112920,0.116122,0.086378,0.336937
113215,0.258876,0.066773,0.428105
114823,0.826996,0.050346,0.458706
118124,0.485425,0.096222,0.326241
118528,0.257911,0.062057,0.555696
118932,0.393800,0.105650,0.471264
119126,0.341407,0.081506,0.453092
119732,0.540278,0.083090,0.352604
120515,0.259983,0.109800,0.472333
121416,0.483997,0.076158,0.507295
122317,0.386695,0.051442,0.436492
124624,0.173770,0.115876,0.402579
127327,0.573060,0.084424,0.373149
127630,0.190958,0.117222,0.574764
129634,1.100504,0.049916,0.359348
130922,0.531942,0.075080,0.316829
135225,0.543129,0.078936,0.445201
135629,1.026303,0.060436,0.597561
135932,0.487872,0.061732,0.436410
137633,0.436820,0.099852,0.601282
138231,0.241056,0.095957,0.649328
142828,0.426455,0.070794,0.416959
144832,0.922312,0.101464,0.512987
146533,0.217548,0.076987,0.342857
147737,0.400620,0.086679,0.441770
150019,0.544976,0.067009,0.294523
150625,0.708782,0.104210,0.473999
151021,0.606828,0.119146,0.664816
151627,0.515877,0.064796,0.466906
151829,0.464575,0.060153,0.434454
152427,0.552654,0.050977,0.312061
153025,0.798107,0.065419,0.357442
153126,0.441422,0.133385,0.565562
153631,0.151510,0.044649,0.391395
154734,0.576019,0.059142,0.362532
155635,0.689665,0.106722,0.379488
156637,0.655860,0.147477,0.514739
157437,2.556827,0.097648,0.556098
158035,0.237474,0.069087,0.544530
159744,0.389590,0.062819,0.550973
162228,0.205680,0.062609,0.414286
162733,0.438690,0.125970,0.190914
164939,1.559900,0.108404,0.384809
165941,0.702750,0.145455,0.500478
166640,0.788072,0.125024,0.515527
168139,0.351146,0.094066,0.399050
169545,0.364248,0.064335,0.416360
173233,0.473930,0.048605,0.344848
173435,0.238864,0.052660,0.397267
173536,0.517622,0.065607,0.441434
173839,0.503263,0.079653,0.435294
173940,0.681695,0.064192,0.368364
174437,0.373236,0.058227,0.306148
175136,0.338114,0.085010,0.426482
175338,0.399839,0.060739,0.280508
175742,1.103835,0.068987,0.426816
176441,0.573822,0.068943,0.553454
176845,0.624238,0.105668,0.400114
178748,0.759533,0.066294,0.646154
178950,0.228648,0.072301,0.548621
180230,0.151108,0.084861,0.342187
180836,0.388761,0.091223,0.507023
181131,0.316858,0.128065,0.411444
187143,0.169691,0.092704,0.335728
188145,0.248375,0.104953,0.634615
188347,0.534933,0.069364,0.562307
188448,0.161716,0.058548,0.320545
188549,0.098765,0.054605,0.287644
191235,1.188175,0.091330,0.517083
192843,0.452128,0.064606,0.400501
193239,0.621575,0.071687,0.488834
196144,0.170958,0.089282,0.604229
196346,0.288266,0.062640,0.316194
198350,0.546651,0.097674,0.381871
199958,0.872231,0.078521,0.522188
202113,0.656291,0.069086,0.332042
204622,0.220085,0.089786,0.425339
206828,0.224404,0.080909,0.406138
208125,0.947663,0.059449,0.446970
208226,0.623841,0.091959,0.436513
208327,0.276782,0.051331,0.394632
209935,0.504110,0.053918,0.306562
210415,0.719534,0.174087,0.616848
211114,0.453862,0.107636,0.504122
211215,0.462052,0.064570,0.513261
211619,0.230135,0.068726,0.360607
211720,0.726476,0.079010,0.415947
217429,0.475634,0.040401,0.421007
224022,0.203906,0.162687,0.475184
237334,0.269311,0.092149,0.482545
250932,1.026682,0.064991,0.637301
256540,0.302416,0.063709,0.404082
275645,0.672341,0.119084,0.450000
304020,0.335908,0.120239,0.537518
305830,0.384471,0.133929,0.568182
308331,0.690271,0.083536,0.572489
317332,0.340716,0.073624,0.441558
329844,0.279605,0.074653,0.539130
334635,0.206620,0.091507,0.402128
346137,0.313559,0.142581,0.571429
349244,0.306806,0.061377,0.371198
350330,0.206239,0.075284,0.393560
355239,1.075944,0.135175,0.417377
378857,0.974931,0.067337,0.510823
379657,1.074059,0.081487,0.455769
381543,0.207981,0.052452,0.367865
394956,0.357944,0.052721,0.388649
406432,0.354804,0.077493,0.454039
419239,0.340969,0.133225,0.455473
436239,0.498885,0.070689,0.491019
445543,0.391633,0.100759,0.445072
459453,0.586195,0.081167,0.456093
475855,0.657937,0.082863,0.401190
510326,0.371068,0.080311,0.289084
513736,0.993490,0.066762,0.431818
522434,0.180193,0.072284,0.530442
529549,0.435898,0.074459,0.409304
530635,0.278571,0.085600,0.401812
540436,0.453219,0.048914,0.486275
553344,0.420699,0.062423,0.278980
555651,0.495028,0.065064,0.381366
559457,0.311418,0.108444,0.358492
566454,0.365557,0.123906,0.609770
571144,0.241442,0.043279,0.332895
580650,0.547717,0.130958,0.451562
581349,0.709726,0.088635,0.436508
587664,0.987064,0.085507,0.604708
588565,0.223657,0.061735,0.348790
594156,0.227616,0.079152,0.456073
599671,1.681100,0.119495,0.530483
604537,1.090947,0.082920,0.414948
614439,1.823685,0.086636,0.371830
615744,0.218437,0.087138,0.435291
616645,0.236863,0.067881,0.465444
620434,0.296307,0.058004,0.463666
622236,0.281888,0.073608,0.401767
626648,0.486819,0.058277,0.445480
645450,0.557643,0.056873,0.398857
645551,0.450161,0.069122,0.388687
654350,0.419359,0.067413,0.475643
663755,0.472255,0.058467,0.464784
668361,0.339572,0.068480,0.566667
673455,0.993410,0.109716,0.395677
693764,0.568094,0.073972,0.516121
701535,0.171255,0.076391,0.474940
756055,1.294729,0.106639,0.515589
761957,0.453287,0.086804,0.450822
774663,0.193373,0.055624,0.427952
788876,0.584664,0.165679,0.552860
793465,0.324060,0.087842,0.421962
803240,0.330483,0.078260,0.320676
810843,0.665580,0.141868,0.477452
815247,0.498016,0.070934,0.446678
816653,0.790828,0.075832,0.440437
825654,0.195420,0.106774,0.402778
828862,0.155494,0.090701,0.294715
833148,0.264995,0.042092,0.453760
841349,0.160643,0.071496,0.358203
849264,1.819645,0.135904,0.459336
856766,0.469039,0.084775,0.448856
856968,0.482197,0.095256,0.402439
865363,0.589667,0.072974,0.458430
872562,0.482980,0.055976,0.424658
873968,0.376094,0.074282,0.298184
877269,1.110720,0.088674,0.502188
880157,0.615857,0.060462,0.481061
894067,0.410242,0.083950,0.508814
902242,0.865946,0.060929,0.339373
904044,0.167766,0.076231,0.653571
922854,0.218794,0.136911,0.512104
930449,0.198923,0.066340,0.299327
932554,0.154422,0.048709,0.381092
942658,0.305810,0.075464,0.354978
952863,0.177158,0.088442,0.500804
965367,0.310988,0.052266,0.465278
979984,0.640379,0.127799,0.480676
987074,0.663927,0.054975,0.472403
990366,0.269161,0.080771,0.548575
993675,0.264663,0.082017,0.540470
