subj,WorkingMemory,Reward
100206,-3.744397,2.010406
101309,-1.095295,-13.696318
101410,-5.365805,6.400637
101915,-3.024629,-5.654698
105923,-0.730368,4.168587
108525,-11.168918,10.345492
109325,3.007980,-16.065269
110411,-19.511537,7.688137
111716,-27.754798,-16.037274
112314,-11.727774,-8.165110
112920,-28.295711,-6.948104
113215,-5.776171,-1.752768
114823,0.910329,3.618859
118124,-1.848016,-20.521192
118528,-7.085786,-20.698620
118932,-9.057768,-31.875608
119126,-14.554226,15.723273
119732,7.740234,-9.464929
120515,-1.214393,-4.810267
121416,-13.271137,15.666993
122317,-12.099137,5.836798
124624,-24.450534,13.512858
127327,13.270871,125.263564
127630,-6.168251,0.148922
129634,-13.559610,-2.349290
130922,14.716673,3.670213
135225,-4.475546,-4.335769
135629,-23.393210,21.061798
135932,-25.475912,9.890564
137633,-11.948841,0.756623
138231,4.373741,-2.541899
142828,2.810687,2.237440
144832,0.939146,18.992645
146533,-1.446414,1.243832
147737,-12.742743,11.870212
150019,-30.080226,7.255719
150625,-12.029569,-9.032259
151021,9.729786,-0.703439
151627,-2.362933,-2.536984
151829,-31.310690,4.222520
152427,-17.174021,-23.122873
153025,-28.519706,1.719268
153126,-2.470389,-0.679560
153631,-6.086772,-11.207297
154734,-1.329492,9.990128
155635,-23.770234,14.216276
156637,3.033306,-1.995375
157437,-0.785472,12.442508
158035,-6.825211,2.087052
159744,1.192999,-3.377059
162228,-0.097957,-21.731448
162733,-12.062330,-6.034263
164939,-15.317488,21.618075
165941,-0.962488,2.686587
166640,-3.036748,-2.423507
168139,-43.916896,1.905013
169545,-15.306549,5.586851
173233,3.259698,-9.063855
173435,-11.165599,-7.387708
173536,-25.971099,7.739964
173839,-6.226466,-19.993462
173940,-8.348157,-6.943129
174437,-6.680926,23.168245
175136,-17.523208,24.972282
175338,-8.624627,-7.071008
175742,-22.567085,-0.290864
176441,-9.767358,2.892658
176845,-12.256797,-1.678777
178748,4.447608,-4.299542
178950,-16.736896,-1.043384
180230,-3.859130,0.900975
180836,6.600998,-11.474252
181131,-6.126382,-1.168942
187143,-18.058356,10.576923
188145,-5.350769,-2.017967
188347,0.352333,6.581731
188448,-17.312858,21.550584
188549,-4.780467,-6.088991
191235,16.085389,9.329620
192843,-15.982957,-5.688729
193239,20.874978,5.982754
196144,-16.380083,-0.205410
196346,-9.140453,-5.279532
198350,-28.503586,8.057331
199958,8.106421,9.196319
202113,3.811139,4.753431
204622,-9.739152,3.540008
206828,10.644160,-11.254988
208125,-22.692882,12.026806
208226,6.675014,-3.469142
208327,-4.196342,-33.961332
209935,6.037003,-30.528891
210415,-6.919723,6.281377
211114,-1.393397,8.699493
211215,7.375211,23.328323
211619,-0.250194,13.822469
211720,-9.774245,11.893060
217429,-18.369640,-1.315101
224022,-2.559696,11.634563
237334,-8.813988,-14.431011
250932,-4.509136,-1.571023
256540,9.517660,-7.244430
275645,-36.489242,16.543171
304020,12.582180,-4.896454
305830,2.666543,-5.610927
308331,3.312722,9.548998
317332,36.403222,-22.330935
329844,-9.143671,-27.659545
334635,-1.093342,5.747718
346137,-18.581092,-8.933117
349244,-14.563262,-6.192896
350330,-4.062641,3.650884
355239,-3.384825,20.425282
378857,7.520286,-6.410163
379657,-2.614474,-2.354859
381543,-9.835548,-0.992737
394956,-10.468044,11.170545
406432,-16.743621,15.616145
419239,0.105999,-0.105725
436239,-8.122278,9.608411
445543,-3.803295,8.568179
459453,1.982140,-1.185095
475855,3.052916,-0.442539
510326,-1.760964,-12.068005
513736,-7.212450,0.178076
522434,-1.633709,5.022017
529549,-13.409854,-6.834097
530635,-8.054584,-3.681076
540436,-8.125525,-11.503183
553344,-20.360946,-6.092096
555651,-0.321913,-10.423072
559457,-4.213689,3.654225
566454,-11.647000,-4.103022
571144,-8.076768,5.078981
580650,-1.336893,7.901516
581349,-7.945343,1.731239
587664,-20.467233,-1.473627
588565,-32.610084,9.643568
594156,-11.795966,1.738139
599671,-6.853669,-4.753928
604537,7.949778,10.892436
614439,8.518615,-14.888419
615744,-7.008762,-0.123225
616645,-22.022649,32.802313
620434,-10.432802,17.389652
622236,-4.095250,15.561578
626648,1.674597,1.847479
645450,-7.601701,3.422293
645551,-7.673983,-3.006299
654350,8.742136,0.520296
663755,3.150029,-7.647608
668361,NaN,3.539637
673455,-13.414847,-11.250093
693764,-6.611360,5.034339
701535,4.023960,6.772974
756055,-14.650023,1.311100
761957,-1.079900,16.309289
774663,1.158948,10.589028
788876,0.275502,13.155346
793465,-23.551174,21.182138
803240,-20.308895,11.101806
810843,-3.210312,31.451148
815247,-2.416130,-5.215346
816653,-22.600413,0.494534
825654,-15.552776,4.790386
828862,-4.605404,21.321786
833148,1.609343,4.820051
841349,-3.475922,2.456406
849264,-3.054602,9.497285
856766,7.121903,-2.386006
856968,4.070352,3.411016
865363,-13.764064,-16.112075
872562,-7.741518,1.521492
873968,-26.513617,-30.531199
877269,8.061748,-7.173877
880157,-4.642337,16.339266
894067,-9.872564,5.948629
902242,-30.813551,9.904015
904044,-12.992588,-15.434902
922854,-11.280434,-12.327049
930449,-4.328169,-1.217687
932554,-3.879349,-8.727984
942658,-17.902201,-4.387953
952863,-20.753104,5.879810
965367,-29.545245,-2.343074
979984,-4.491320,-1.217145
987074,-14.853216,-8.181844
990366,-9.821725,-1.701833
993675,-9.493257,-2.682884
