subj,WorkingMemory,Reward
100206,39.925672,0.235934
101309,9.737976,4.516013
101410,18.200308,7.903221
101915,30.640955,-1.216248
105923,7.272115,12.936787
108525,20.206659,27.273170
109325,-13.417861,1.143807
110411,-4.736124,-4.525318
111716,22.492412,19.034865
112314,1.650115,19.631113
112920,4.760729,2.245821
113215,29.506743,11.780291
114823,-1.180164,-8.153946
118124,5.118496,-0.125576
118528,32.279487,7.220323
118932,-12.386795,8.751405
119126,9.915801,33.993152
119732,0.380801,-22.352435
120515,-7.315378,18.726602
121416,9.497730,-32.806376
122317,1.461082,8.249976
124624,-0.685641,9.539238
127327,19.366005,-12.464912
127630,21.868060,1.719557
129634,-22.127874,-17.230883
130922,17.798419,-13.529360
135225,32.948381,5.244563
135629,33.409812,10.040535
135932,11.396119,8.618081
137633,10.748546,-18.001212
138231,8.413185,1.731991
142828,1.359783,3.988284
144832,4.790147,-0.690038
146533,-24.217755,13.272491
147737,12.993608,8.586797
150019,-13.197399,35.912455
150625,-15.108277,-20.558226
151021,-4.251541,2.913551
151627,-13.473473,-16.784728
151829,-24.452562,-11.715492
152427,1.504313,-27.020135
153025,0.947179,10.688874
153126,21.501871,-1.433866
153631,-35.325905,-18.353200
154734,20.723729,7.430292
155635,28.867297,-3.026023
156637,0.705370,-57.583925
157437,2.485006,3.942388
158035,-12.066294,-13.451014
159744,3.343488,-4.764801
162228,5.802974,-8.118378
162733,23.444626,2.016777
164939,4.430083,-0.602988
165941,-18.737415,0.389051
166640,20.152032,41.052751
168139,-0.885789,-21.807842
169545,28.567682,19.814427
173233,-22.388012,-10.965071
173435,17.176814,15.575001
173536,4.087326,3.281222
173839,-29.763044,14.687838
173940,-36.180140,-6.422113
174437,11.843213,24.687181
175136,-11.772348,2.729276
175338,36.282750,-1.348808
175742,16.366908,-6.614615
176441,21.674423,-8.108127
176845,-9.303265,4.176370
178748,6.996777,-25.482035
178950,-12.010526,-1.536609
180230,-17.130669,10.618871
180836,11.412451,-4.803454
181131,0.401232,3.929685
187143,15.840493,-13.096116
188145,-23.387710,10.727914
188347,-16.357122,9.303685
188448,0.676384,2.672608
188549,-33.640321,28.935178
191235,51.867089,27.528480
192843,-4.094053,-12.074761
193239,0.808721,10.956142
196144,-31.091930,26.435625
196346,4.332744,-5.749420
198350,-11.532171,6.152214
199958,-16.546308,0.277677
202113,39.864686,20.229174
204622,12.670015,-4.724026
206828,46.101093,-8.803312
208125,-15.675016,14.640170
208226,9.584815,40.745942
208327,4.786962,12.141702
209935,24.606877,-19.163295
210415,-8.857434,-6.043146
211114,2.291560,10.539933
211215,51.950593,-9.094647
211619,27.874122,-0.315693
211720,5.837051,28.780023
217429,7.529853,4.453578
224022,31.463669,11.826348
237334,-7.023603,-14.736353
250932,9.408195,5.102909
256540,22.531588,17.821477
275645,-18.216915,12.619703
304020,-20.336141,-12.017748
305830,11.633636,11.768864
308331,10.845717,13.175780
317332,12.777262,-0.501825
329844,5.950671,-7.396613
334635,-4.631209,11.357979
346137,-3.834636,2.477433
349244,25.958131,24.744025
350330,41.816914,-7.862606
355239,-4.045541,-7.426346
378857,4.252171,0.447318
379657,4.481504,-5.167156
381543,-11.120349,-11.127659
394956,13.761007,-7.610604
406432,14.574256,-6.514888
419239,-20.164681,-10.045377
436239,-8.671907,10.313724
445543,36.662481,-16.389774
459453,16.266601,10.667291
475855,-35.237908,-7.746025
510326,-5.435176,-2.612939
513736,-15.726007,-12.301099
522434,-4.081511,-2.638850
529549,-21.382072,16.905879
530635,-0.110163,-9.935109
540436,-9.690820,4.957466
553344,-5.122978,8.970321
555651,-2.719272,-0.347986
559457,-20.752566,2.665360
566454,35.395725,9.002797
571144,13.243345,5.605062
580650,-18.110148,20.876145
581349,-13.573221,-0.921200
587664,11.449247,0.753725
588565,-19.328824,-3.639487
594156,-1.401963,-13.951712
599671,-52.173065,11.313500
604537,-16.092496,11.427725
614439,14.007644,34.370858
615744,-18.127750,-10.614159
616645,58.417035,23.166360
620434,-16.656218,4.098189
622236,0.663520,-3.815402
626648,-5.015108,-8.360294
645450,10.208021,10.670975
645551,25.553312,3.709536
654350,28.256950,4.102100
663755,-10.119666,-3.447966
668361,NaN,23.506079
673455,26.024947,-5.190208
693764,47.706753,5.076687
701535,-5.769140,-0.838620
756055,12.215558,20.818425
761957,-8.535412,21.916973
774663,-35.945825,48.056813
788876,9.217594,26.297318
793465,36.925573,-15.954520
803240,22.328595,-4.921689
810843,-4.391448,32.619291
815247,-5.260001,4.123606
816653,17.706752,-2.301107
825654,-26.418804,4.563225
828862,-17.937045,14.929550
833148,4.575029,-17.128145
841349,2.519388,12.599105
849264,21.847416,-11.063573
856766,-6.677392,4.076353
856968,-3.818019,-10.485865
865363,23.641330,-14.659444
872562,-8.216346,-18.120235
873968,38.159106,-27.524992
877269,12.039369,8.044429
880157,21.077192,20.110750
894067,18.218757,-2.045756
902242,-25.052925,3.731435
904044,-21.792438,-1.783103
922854,-8.164760,-4.674663
930449,10.133819,21.334512
932554,28.269629,35.972092
942658,8.572966,-12.248283
952863,-6.563917,4.372325
965367,-10.625507,6.810641
979984,-13.736149,13.031303
987074,16.466924,-18.607030
990366,6.809404,-2.779715
993675,5.042116,6.102596
