subj,abs_mean,rel_mean,pct_removed
100206,0.524822,0.050716,0.525000
101309,0.688286,0.052077,0.536550
101410,0.179916,0.089474,0.322115
101915,0.159089,0.083850,0.519118
105923,0.113306,0.063784,0.535885
108525,0.945126,0.094680,0.448622
109325,0.367945,0.124171,0.560386
110411,0.139183,0.056908,0.395833
111716,0.202891,0.079901,0.500000
112314,1.032641,0.061668,0.473684
112920,0.160619,0.073483,0.403509
113215,0.122559,0.056331,0.440476
114823,0.212343,0.063630,0.584524
118124,0.222464,0.119586,0.337535
118528,0.131566,0.082615,0.545455
118932,0.266624,0.075912,0.489130
119126,0.311910,0.098575,0.487273
119732,0.133304,0.078220,0.333077
120515,0.096385,0.084586,0.392344
121416,0.156108,0.078240,0.585714
122317,0.238762,0.062285,0.454545
124624,0.119656,0.103211,0.438095
127327,0.247034,0.093771,0.510000
127630,0.809688,0.136713,0.658333
129634,0.391373,0.051125,0.410526
130922,0.315352,0.061405,0.391304
135225,0.243987,0.067325,0.526316
135629,0.121923,0.046394,0.326087
135932,0.354348,0.055097,0.509740
137633,0.154182,0.081570,0.560000
138231,0.155726,0.072108,0.683014
142828,0.244360,0.085118,0.366667
144832,1.028785,0.074130,0.366776
146533,0.219658,0.086980,0.426630
147737,0.208527,0.086930,0.437799
150019,0.110997,0.053399,0.333992
150625,0.235335,0.063307,0.596491
151021,0.449285,0.087209,0.573333
151627,0.135397,0.072173,0.463158
151829,0.159879,0.045658,0.400327
152427,0.460784,0.069501,0.380952
153025,0.284600,0.052880,0.362319
153126,0.287355,0.170238,0.589474
153631,0.091075,0.047651,0.412879
154734,0.187548,0.075789,0.453634
155635,0.180881,0.125766,0.373377
156637,0.201139,0.180224,0.675000
157437,0.377723,0.077943,0.397436
158035,0.127208,0.055269,0.686275
159744,0.295710,0.066837,0.595455
162228,0.247121,0.070035,0.330972
162733,0.191536,0.121387,0.295290
164939,1.146735,0.119807,0.698182
165941,0.275369,0.103687,0.562201
166640,0.408132,0.116234,0.547692
168139,0.634367,0.074167,0.384058
169545,0.312442,0.065165,0.329545
173233,0.247312,0.055571,0.477273
173435,0.286237,0.039706,0.395022
173536,0.355225,0.052079,0.368421
173839,0.835866,0.120194,0.548462
173940,0.154229,0.056639,0.421937
174437,0.217761,0.099820,0.485294
175136,0.180747,0.066818,0.513095
175338,0.203603,0.061037,0.477273
175742,0.278082,0.052364,0.527778
176441,1.134381,0.085650,0.676548
176845,0.378014,0.076687,0.500000
178748,0.416911,0.116631,0.402198
178950,0.100769,0.067765,0.500000
180230,0.483692,0.086891,0.521062
180836,0.275184,0.099758,0.502392
181131,0.215118,0.122995,0.618056
187143,0.188736,0.100536,0.238235
188145,0.189773,0.119081,0.637500
188347,0.182751,0.067281,0.510000
188448,0.069928,0.042984,0.377470
188549,0.209098,0.102071,0.407895
191235,0.388786,0.097723,0.511905
192843,0.170011,0.060868,0.340476
193239,0.541493,0.051102,0.470588
196144,0.142520,0.087490,0.600000
196346,0.103343,0.067579,0.347059
198350,0.177097,0.080989,0.442641
199958,0.639028,0.086750,0.583333
202113,0.287075,0.054269,0.467273
204622,0.524756,0.096860,0.480870
206828,0.203832,0.083247,0.413095
208125,0.252033,0.058241,0.419913
208226,0.676580,0.084343,0.517857
208327,0.157368,0.058967,0.377174
209935,0.234929,0.037430,0.500000
210415,0.162123,0.188497,0.638889
211114,1.961792,0.127270,0.608333
211215,0.168999,0.062451,0.524768
211619,0.430198,0.078491,0.653846
211720,0.261213,0.077189,0.220539
217429,0.202628,0.070286,0.489770
224022,0.280543,0.128678,0.511905
237334,0.199218,0.090426,0.593182
250932,0.577496,0.058646,0.589474
256540,0.230276,0.146008,0.486842
275645,0.336951,0.084210,0.552372
304020,0.249477,0.110396,0.626087
305830,0.133604,0.123135,0.488095
308331,2.418465,0.121268,0.592133
317332,0.327788,0.093626,0.394587
329844,0.108571,0.079357,0.527778
334635,0.123343,0.097286,0.410217
346137,0.361197,0.112604,0.640789
349244,0.233139,0.063551,0.497222
350330,0.310902,0.082992,0.544513
355239,0.337486,0.161438,0.466403
378857,0.533701,0.071149,0.510870
379657,0.353641,0.077538,0.468297
381543,0.411354,0.067539,0.490741
394956,0.152907,0.059347,0.488095
406432,0.368760,0.072829,0.464286
419239,0.507310,0.103667,0.547222
436239,0.331480,0.091211,0.659722
445543,0.209386,0.114892,0.620137
459453,0.584458,0.059459,0.555556
475855,0.128412,0.080977,0.419913
510326,0.314630,0.095960,0.470109
513736,0.715547,0.059839,0.436842
522434,0.143512,0.058650,0.572727
529549,0.154900,0.105103,0.340580
530635,0.278851,0.099650,0.377847
540436,0.243087,0.065101,0.667105
553344,0.137545,0.061841,0.419130
555651,0.083262,0.054842,0.367391
559457,0.173458,0.068604,0.539474
566454,0.199037,0.102877,0.650502
571144,0.112524,0.074530,0.444444
580650,0.473961,0.130512,0.694444
581349,0.418793,0.108339,0.529412
587664,0.789870,0.059550,0.510870
588565,0.231301,0.099748,0.500000
594156,0.553202,0.075013,0.380117
599671,1.599915,0.129362,0.559259
604537,0.729507,0.078354,0.307346
614439,0.402444,0.077664,0.508152
615744,0.578150,0.063330,0.460294
616645,0.487393,0.050958,0.384211
620434,0.494000,0.067068,0.637681
622236,0.161313,0.064244,0.254529
626648,0.220427,0.071109,0.500000
645450,0.145208,0.056670,0.391204
645551,0.218397,0.058266,0.313889
654350,0.201668,0.074800,0.465368
663755,0.278714,0.048065,0.389286
668361,0.321976,0.084796,0.692105
673455,0.235385,0.077013,0.521739
693764,0.424166,0.074724,0.556277
701535,0.184615,0.065445,0.588158
756055,2.183542,0.215315,0.581551
761957,0.201181,0.091593,0.468333
774663,0.161182,0.056061,0.460526
788876,0.260589,0.192820,0.771242
793465,0.128556,0.093256,0.458621
803240,0.153298,0.065819,0.282764
810843,1.072136,0.184469,0.479130
815247,0.556184,0.083210,0.435652
816653,0.433513,0.065283,0.502778
825654,0.278539,0.121108,0.282197
828862,0.582511,0.090438,0.315620
833148,0.097635,0.036774,0.438158
841349,0.126776,0.069495,0.461905
849264,0.250426,0.083590,0.530000
856766,0.371666,0.102627,0.558182
856968,0.181738,0.115185,0.295031
865363,0.411735,0.071682,0.548462
872562,0.169745,0.064813,0.589706
873968,0.269960,0.066966,0.500000
877269,0.333746,0.089446,0.452206
880157,0.235290,0.073045,0.531250
894067,0.332618,0.132369,0.519231
902242,0.233826,0.053280,0.375000
904044,0.262099,0.089611,0.555556
922854,0.140447,0.154383,0.271930
930449,0.233782,0.057739,0.377193
932554,0.120565,0.049496,0.443452
942658,0.111338,0.072031,0.428571
952863,0.370181,0.093352,0.471273
965367,0.141808,0.059637,0.622807
979984,0.381646,0.133346,0.455592
987074,1.065859,0.057626,0.587302
990366,0.191245,0.081974,0.649621
993675,0.186761,0.094141,0.636223
