subj,WorkingMemory,Reward
100206,-2.871365,9.666255
101309,-4.035040,2.859426
101410,-20.702157,-1.538059
101915,-5.800475,-9.902727
105923,-7.026310,4.863755
108525,10.659825,12.265897
109325,-3.892645,15.186121
110411,-12.918644,-8.243195
111716,-5.062578,0.787984
112314,-12.766793,6.434113
112920,-15.982118,-4.730064
113215,8.007261,9.035099
114823,-7.476078,-2.073846
118124,-25.331902,-17.461085
118528,-8.838539,-11.429937
118932,5.440728,-16.809721
119126,-26.673111,27.450246
119732,1.187020,-15.471185
120515,10.360218,-3.621025
121416,-16.622162,11.661647
122317,12.741129,13.072400
124624,-6.331644,2.554763
127327,-19.325789,15.320831
127630,10.563097,-3.408482
129634,-10.141291,10.685735
130922,-28.621765,17.784026
135225,-2.676046,-6.290081
135629,-16.087787,3.007363
135932,-16.846477,15.464639
137633,11.094573,-12.284197
138231,-6.230230,18.569888
142828,4.281459,-11.681085
144832,12.778447,11.929364
146533,12.636759,1.300473
147737,2.338305,25.019067
150019,4.663923,18.064100
150625,-17.011604,-5.426708
151021,-0.581356,-1.630592
151627,-7.485458,0.793119
151829,-13.435559,13.864807
152427,2.917296,-3.205956
153025,-12.547302,9.484402
153126,-21.655154,-11.484816
153631,-11.443186,-0.152195
154734,-3.496122,-7.758730
155635,-16.772272,-4.055855
156637,-9.576795,13.177918
157437,-14.714188,-3.625864
158035,-16.902074,5.317079
159744,1.261564,-1.459465
162228,11.573855,-12.249187
162733,-2.924510,-10.117281
164939,-19.001185,-10.606952
165941,-6.196697,1.912742
166640,11.050345,12.331914
168139,-17.960843,19.232532
169545,-8.106789,-36.190472
173233,10.711827,-3.571971
173435,-4.187078,-9.816604
173536,-33.683836,-1.979935
173839,-2.634045,2.472544
173940,-21.239946,-5.170769
174437,-4.571062,29.809045
175136,-7.713305,15.731811
175338,-10.455674,-11.967160
175742,-3.889070,-2.904407
176441,2.680155,16.744188
176845,-9.013257,14.003557
178748,-3.044916,4.105468
178950,-9.112511,-13.190780
180230,-20.552943,-16.190803
180836,-22.450946,-12.891393
181131,-13.056509,14.254639
187143,1.880758,3.266667
188145,-7.624461,-4.205406
188347,-21.981675,-15.958458
188448,-16.856181,9.458360
188549,7.137042,-1.176918
191235,-9.759747,4.185598
192843,7.642617,-5.342100
193239,3.486875,-4.405454
196144,-7.709821,-2.726010
196346,8.953738,-11.699123
198350,-1.123097,12.218918
199958,-0.363537,-8.548139
202113,11.554469,24.142823
204622,-1.206417,5.684613
206828,9.470935,-15.935973
208125,-17.561197,29.687141
208226,-17.859574,58.519089
208327,16.326717,5.121108
209935,12.166383,2.404911
210415,-16.937717,14.638348
211114,-7.414628,2.964472
211215,-3.357784,5.708725
211619,-1.517361,9.118331
211720,-11.105491,14.152789
217429,-6.019736,6.526984
224022,7.114333,6.123622
237334,-11.309577,-7.004222
250932,-1.124978,-4.881691
256540,4.698135,-16.146480
275645,-26.139808,5.185078
304020,12.076896,5.065772
305830,-2.707455,5.233835
308331,3.139251,9.214147
317332,-17.131708,-6.587958
329844,-10.445872,-7.137478
334635,-4.391349,-9.521293
346137,0.445754,-9.417094
349244,-28.174261,-35.166977
350330,8.674479,8.880566
355239,6.844047,28.256044
378857,6.023872,-15.778392
379657,5.438653,10.903645
381543,-12.496193,-9.421670
394956,-8.500812,-10.639135
406432,9.774079,-0.173593
419239,8.397745,-13.045104
436239,10.898668,21.887183
445543,-22.499162,-2.112803
459453,-0.186242,-3.446123
475855,22.784792,-4.140696
510326,-12.840699,-21.270799
513736,-9.085772,3.120834
522434,-1.574426,-6.707086
529549,-25.470535,-2.907788
530635,5.048214,1.398016
540436,-12.508070,-7.062722
553344,-23.356372,-11.609528
555651,14.984201,2.340973
559457,7.149045,0.851654
566454,-8.995280,4.039423
571144,19.809795,1.741086
580650,8.179112,-8.554675
581349,3.174634,0.671654
587664,2.441376,-4.917956
588565,-6.682451,12.479924
594156,-11.688410,-19.626517
599671,26.067855,-3.878332
604537,-11.417208,7.048473
614439,41.716134,-81.285028
615744,-18.680308,-5.237996
616645,-0.021418,10.170212
620434,-1.052739,-2.649388
622236,-4.942398,7.279897
626648,-1.950994,-34.030979
645450,-5.402379,30.108255
645551,-16.090348,-0.102988
654350,1.609215,-4.414976
663755,-5.895404,-20.179612
668361,NaN,36.840189
673455,0.953224,-18.778239
693764,-19.636987,13.475935
701535,17.454314,-5.626892
756055,-3.014009,-1.621838
761957,13.953516,6.955377
774663,-28.375291,16.480000
788876,4.295373,0.533887
793465,-1.505779,8.309497
803240,-22.293642,-21.136833
810843,13.243530,21.150367
815247,-5.889915,-8.590799
816653,-13.338126,-3.489362
825654,-18.912223,19.064383
828862,-10.430743,-7.473829
833148,-5.215022,-5.876595
841349,-1.702833,0.723946
849264,43.339339,-19.458721
856766,7.777323,8.113427
856968,-11.271470,-7.197623
865363,-10.515667,-6.920042
872562,-4.722928,2.773387
873968,-4.979342,-10.121923
877269,3.633732,-0.562797
880157,-13.609768,2.994552
894067,3.655370,-17.949301
902242,-9.428515,7.693848
904044,-4.908599,-30.931767
922854,-34.991979,-14.139813
930449,5.495427,-0.022677
932554,-9.089469,-13.532319
942658,-6.860833,-1.676301
952863,3.459757,-3.718552
965367,-5.212291,18.894198
979984,-12.471071,11.085219
987074,-8.159050,-13.191729
990366,8.152794,1.954775
993675,-25.766443,-0.838454
