subj,WorkingMemory,Reward
100206,29.934388,6.470962
101309,-12.266192,14.868320
101410,-8.188813,-2.171088
101915,-10.419417,-14.279539
105923,6.067526,10.763113
108525,3.912356,-1.942428
109325,-8.109503,-8.261418
110411,-43.891028,1.132059
111716,-20.041443,-4.906073
112314,-36.366307,-26.304760
112920,-57.104155,-13.299548
113215,-25.839024,4.786603
114823,-12.241424,-8.908154
118124,-2.595194,-12.523053
118528,-33.191176,-3.081613
118932,-1.585882,-13.158761
119126,-4.559968,23.933666
119732,6.539161,-60.939687
120515,-15.783079,3.241879
121416,4.022109,-21.461765
122317,-22.089150,-0.545969
124624,-5.622692,2.849607
127327,8.222661,0.320793
127630,1.076836,3.312214
129634,-34.609480,2.348448
130922,-15.785693,-3.653207
135225,-26.344052,-1.973237
135629,-23.689241,21.204245
135932,-8.701392,-3.181594
137633,-9.342873,4.538461
138231,-24.614077,-11.889089
142828,-4.453334,-13.159653
144832,-18.552166,9.528963
146533,-7.165538,19.485927
147737,7.187550,23.104577
150019,-26.064222,-13.301787
150625,-16.918120,-34.253136
151021,9.306283,-8.323368
151627,-13.329846,-15.584615
151829,-21.128922,-17.469083
152427,-11.635976,-3.107188
153025,-9.960889,-19.217692
153126,-12.574265,-4.672621
153631,-27.174102,-5.137914
154734,1.121432,-4.583145
155635,-20.773920,10.073852
156637,-15.129807,-0.838363
157437,11.208208,6.105787
158035,15.749247,-18.085600
159744,-7.541695,15.033448
162228,-18.563692,-11.029466
162733,-7.181012,1.692926
164939,-11.761326,2.001611
165941,3.730033,0.222673
166640,-13.276353,12.367992
168139,-4.745848,13.082281
169545,-16.047735,-3.731866
173233,-24.646486,1.893018
173435,-17.104037,-9.232713
173536,-22.463898,-17.677497
173839,-34.043566,14.894121
173940,-48.468065,19.809406
174437,1.927681,-1.833996
175136,-3.341834,-18.446540
175338,10.813596,24.082857
175742,-32.858521,-20.357567
176441,-16.182096,10.326101
176845,-22.784792,-28.690967
178748,6.882544,-22.277123
178950,-27.408374,-22.706278
180230,-32.197946,-15.562652
180836,0.893816,-16.603333
181131,-1.409163,-16.872727
187143,-8.557635,-12.254914
188145,-6.598119,4.916368
188347,-11.663258,-19.583419
188448,-11.671653,10.805822
188549,-19.699101,9.778153
191235,9.761170,8.986117
192843,-3.244051,-15.024462
193239,-3.496292,-10.811581
196144,-16.547320,14.412897
196346,-13.515766,1.038462
198350,-8.333255,-0.397909
199958,2.178503,5.773116
202113,2.264849,4.898645
204622,-17.340832,-9.536904
206828,-13.891654,-7.372039
208125,-46.318671,24.111560
208226,1.427389,46.531645
208327,-7.714450,28.855530
209935,-10.523006,1.976874
210415,3.925638,-5.459058
211114,3.798993,-9.548966
211215,-1.781640,5.872312
211619,-9.159449,10.100634
211720,3.012008,7.668953
217429,-15.657669,-9.823253
224022,-5.520023,7.855061
237334,-22.260520,-16.306142
250932,-4.335275,-16.310226
256540,2.466416,-10.284040
275645,-26.708797,-14.999191
304020,-3.163473,4.128609
305830,-1.841077,18.365616
308331,8.724000,31.442276
317332,3.193753,-35.483858
329844,-2.261630,-9.435673
334635,7.985382,24.307248
346137,14.801300,-1.358228
349244,-6.424744,14.186908
350330,3.089910,3.677502
355239,-1.672348,9.510965
378857,-12.750028,-5.980399
379657,-13.065954,-4.340003
381543,-54.705345,-5.706730
394956,-16.098141,-9.935124
406432,7.518757,-7.708596
419239,-9.375295,-8.202843
436239,-14.401393,10.044613
445543,3.402903,-17.182992
459453,-0.765094,5.167714
475855,-15.655238,-24.741150
510326,-12.681749,-17.045686
513736,-23.165497,22.902527
522434,-6.571018,-21.341431
529549,-40.857024,4.385232
530635,-8.422240,9.363242
540436,6.920757,2.501056
553344,-25.058806,7.952626
555651,-9.127017,6.666748
559457,-11.432931,10.818934
566454,-30.530335,-5.808459
571144,3.582392,-0.069705
580650,9.996625,9.698314
581349,-14.398497,-7.165819
587664,-9.638671,-6.497451
588565,-28.664823,9.088351
594156,-5.602076,-2.994302
599671,-38.392645,-10.128123
604537,-35.461794,8.816357
614439,23.708325,-7.683294
615744,4.470220,10.568373
616645,-18.071831,15.317919
620434,-29.053895,9.091304
622236,-38.666950,0.874857
626648,-34.102732,-22.485849
645450,-6.502137,4.698841
645551,-30.102919,2.434914
654350,7.359936,9.325821
663755,-22.821935,-8.899354
668361,NaN,28.668652
673455,25.208632,1.835955
693764,-32.886984,11.158958
701535,21.238137,2.929064
756055,0.639005,-25.857291
761957,2.126139,-10.917655
774663,-32.845318,61.790448
788876,-11.000376,11.411596
793465,2.138718,20.320142
803240,15.516160,12.826331
810843,14.802155,7.613049
815247,-35.923096,-2.737957
816653,-15.467234,-15.674058
825654,-8.404232,-7.969185
828862,-49.316265,26.229542
833148,-1.028228,9.187064
841349,-47.258411,17.677172
849264,59.248169,10.482803
856766,-11.781937,16.166722
856968,-63.521797,12.222968
865363,1.037344,0.949430
872562,-38.283245,2.442131
873968,-23.945590,-20.411345
877269,0.649257,12.881952
880157,2.842117,39.957546
894067,1.952265,10.665441
902242,-30.305786,-4.699332
904044,1.706496,-22.850836
922854,-23.417928,1.255217
930449,-0.712814,-10.064711
932554,5.839535,12.942205
942658,0.955736,-9.506950
952863,4.112482,-2.388197
965367,0.592349,-5.921886
979984,-40.942848,37.465679
987074,-12.805896,-11.201177
990366,6.389810,-22.364343
993675,6.394270,14.553458
