subj,task,run,abs_mean,rel_mean
100307,SOCIAL,LR,0.334974,0.059518
100408,SOCIAL,LR,0.255035,0.111908
101006,SOCIAL,LR,0.170517,0.077697
101107,SOCIAL,LR,0.432325,0.061863
101309,SOCIAL,LR,0.559692,0.051542
101410,SOCIAL,LR,0.168701,0.090389
101915,SOCIAL,LR,0.389969,0.091183
102008,SOCIAL,LR,0.231407,0.170100
102311,SOCIAL,LR,0.679252,0.067005
102816,SOCIAL,LR,0.929062,0.191925
103111,SOCIAL,LR,0.154728,0.110756
103515,SOCIAL,LR,0.505235,0.138297
103818,SOCIAL,LR,0.234203,0.108986
105014,SOCIAL,LR,0.116925,0.080388
105115,SOCIAL,LR,0.206571,0.060414
105216,SOCIAL,LR,0.232440,0.052682
106016,SOCIAL,LR,0.603101,0.074429
106521,SOCIAL,LR,0.183603,0.065820
107321,SOCIAL,LR,0.089209,0.049123
107422,SOCIAL,LR,0.192958,0.061175
108121,SOCIAL,LR,0.318457,0.181687
108323,SOCIAL,LR,0.192466,0.053013
108525,SOCIAL,LR,1.287470,0.154910
108828,SOCIAL,LR,0.577178,0.090801
109123,SOCIAL,LR,0.308909,0.092513
109325,SOCIAL,LR,0.488098,0.125228
110411,SOCIAL,LR,0.147127,0.042933
111312,SOCIAL,LR,0.398815,0.072948
111413,SOCIAL,LR,0.229576,0.082832
111716,SOCIAL,LR,1.022760,0.083677
113215,SOCIAL,LR,0.125699,0.048839
113922,SOCIAL,LR,0.136986,0.058562
114419,SOCIAL,LR,0.598137,0.108597
114924,SOCIAL,LR,0.645586,0.156115
115320,SOCIAL,LR,0.256347,0.131939
116524,SOCIAL,LR,3.227950,0.248790
117122,SOCIAL,LR,0.966548,0.062811
117324,SOCIAL,LR,0.203889,0.047287
118528,SOCIAL,LR,0.337257,0.062231
118730,SOCIAL,LR,0.214814,0.097265
118932,SOCIAL,LR,0.350820,0.080257
119833,SOCIAL,LR,0.153902,0.119145
120212,SOCIAL,LR,0.433715,0.096892
120515,SOCIAL,LR,0.117247,0.089177
121618,SOCIAL,LR,0.665376,0.068863
122317,SOCIAL,LR,0.290696,0.068092
122620,SOCIAL,LR,0.418266,0.045473
123117,SOCIAL,LR,0.316231,0.146637
123420,SOCIAL,LR,0.536051,0.143532
123925,SOCIAL,LR,0.603277,0.105468
124220,SOCIAL,LR,0.253999,0.221600
125525,SOCIAL,LR,0.231864,0.077716
126325,SOCIAL,LR,0.276325,0.085792
126628,SOCIAL,LR,0.533441,0.124572
127630,SOCIAL,LR,0.219681,0.126027
127933,SOCIAL,LR,0.139312,0.055186
128127,SOCIAL,LR,0.115205,0.046794
128632,SOCIAL,LR,0.260441,0.062142
129028,SOCIAL,LR,0.107551,0.053716
130013,SOCIAL,LR,0.168298,0.084929
130316,SOCIAL,LR,0.527421,0.132567
131217,SOCIAL,LR,0.236541,0.099540
131722,SOCIAL,LR,0.249744,0.083309
133019,SOCIAL,LR,0.697583,0.069825
133827,SOCIAL,LR,0.374615,0.089437
133928,SOCIAL,LR,0.131203,0.055560
134324,SOCIAL,LR,0.539120,0.073355
135225,SOCIAL,LR,0.606101,0.065960
135528,SOCIAL,LR,0.408715,0.083466
136227,SOCIAL,LR,0.193429,0.067354
136833,SOCIAL,LR,0.327955,0.091774
137027,SOCIAL,LR,0.148460,0.071738
138534,SOCIAL,LR,0.363119,0.068146
139233,SOCIAL,LR,0.338662,0.111145
139637,SOCIAL,LR,0.424486,0.061329
140925,SOCIAL,LR,0.776770,0.231668
144832,SOCIAL,LR,0.326757,0.073710
146432,SOCIAL,LR,0.217211,0.080685
147030,SOCIAL,LR,0.659473,0.222749
147737,SOCIAL,LR,0.340932,0.094495
148335,SOCIAL,LR,0.389768,0.136145
148840,SOCIAL,LR,0.102686,0.073026
148941,SOCIAL,LR,0.210403,0.060086
149741,SOCIAL,LR,0.469308,0.134901
150423,SOCIAL,LR,0.368497,0.052465
150726,SOCIAL,LR,0.230691,0.098576
151223,SOCIAL,LR,0.171456,0.093644
151526,SOCIAL,LR,0.489515,0.135734
151627,SOCIAL,LR,0.195715,0.060151
151728,SOCIAL,LR,0.852959,0.195743
153833,SOCIAL,LR,0.403147,0.194007
154734,SOCIAL,LR,0.215283,0.070057
154835,SOCIAL,LR,0.391844,0.066095
154936,SOCIAL,LR,0.456398,0.086463
155231,SOCIAL,LR,0.795247,0.056047
156233,SOCIAL,LR,2.363150,0.649081
156637,SOCIAL,LR,0.359630,0.166170
157437,SOCIAL,LR,0.337664,0.105037
158136,SOCIAL,LR,0.275866,0.090863
159138,SOCIAL,LR,0.160404,0.083442
159239,SOCIAL,LR,0.123535,0.082702
159340,SOCIAL,LR,0.143095,0.097098
159441,SOCIAL,LR,0.415191,0.170542
160830,SOCIAL,LR,0.435717,0.115347
161630,SOCIAL,LR,0.344866,0.113067
162228,SOCIAL,LR,0.287405,0.060668
162733,SOCIAL,LR,0.330624,0.109660
163331,SOCIAL,LR,0.269015,0.198879
163432,SOCIAL,LR,1.517860,0.160363
164030,SOCIAL,LR,0.321407,0.044878
164131,SOCIAL,LR,0.283523,0.113621
164939,SOCIAL,LR,1.630020,0.118687
167036,SOCIAL,LR,0.442192,0.053059
167743,SOCIAL,LR,0.706367,0.122522
168139,SOCIAL,LR,0.435084,0.131445
168341,SOCIAL,LR,1.087880,0.087672
169444,SOCIAL,LR,0.382585,0.057512
170934,SOCIAL,LR,0.473953,0.071759
172029,SOCIAL,LR,0.274991,0.068137
172332,SOCIAL,LR,0.472328,0.075327
172534,SOCIAL,LR,0.598717,0.059168
172938,SOCIAL,LR,0.680498,0.127267
173435,SOCIAL,LR,0.252620,0.044626
173940,SOCIAL,LR,0.215976,0.058195
176542,SOCIAL,LR,0.216942,0.048223
177645,SOCIAL,LR,0.638929,0.061418
178142,SOCIAL,LR,0.113926,0.064786
178849,SOCIAL,LR,0.422085,0.058424
178950,SOCIAL,LR,0.197510,0.056485
180129,SOCIAL,LR,0.692171,0.136606
180432,SOCIAL,LR,0.409352,0.060839
181232,SOCIAL,LR,0.414562,0.065228
182739,SOCIAL,LR,0.246380,0.076129
185442,SOCIAL,LR,0.112325,0.072808
186141,SOCIAL,LR,0.239110,0.101794
187143,SOCIAL,LR,0.178378,0.116548
189349,SOCIAL,LR,0.123135,0.040664
189450,SOCIAL,LR,0.345350,0.111597
190031,SOCIAL,LR,0.122486,0.102600
191033,SOCIAL,LR,0.287389,0.063254
192540,SOCIAL,LR,0.545059,0.065491
195041,SOCIAL,LR,0.109849,0.120848
196750,SOCIAL,LR,0.293437,0.098602
197550,SOCIAL,LR,0.180035,0.148076
198451,SOCIAL,LR,0.612158,0.062422
198855,SOCIAL,LR,0.409073,0.044508
199655,SOCIAL,LR,0.093147,0.062974
199958,SOCIAL,LR,0.198525,0.094900
200614,SOCIAL,LR,0.169843,0.118014
201818,SOCIAL,LR,0.147760,0.060987
203418,SOCIAL,LR,0.241022,0.065583
204016,SOCIAL,LR,0.311862,0.109093
208226,SOCIAL,LR,0.323976,0.083447
210011,SOCIAL,LR,0.574718,0.051918
212217,SOCIAL,LR,0.464503,0.126364
212318,SOCIAL,LR,0.183533,0.142609
214423,SOCIAL,LR,0.370111,0.076398
231928,SOCIAL,LR,0.527919,0.082112
239944,SOCIAL,LR,0.315175,0.047045
245333,SOCIAL,LR,0.494473,0.050567
285446,SOCIAL,LR,0.390255,0.043619
290136,SOCIAL,LR,0.160907,0.085126
304020,SOCIAL,LR,0.443721,0.098965
308331,SOCIAL,LR,0.432631,0.089505
310621,SOCIAL,LR,0.473572,0.066629
316633,SOCIAL,LR,0.902052,0.056069
361941,SOCIAL,LR,0.202041,0.058487
397760,SOCIAL,LR,0.172436,0.127023
414229,SOCIAL,LR,0.096368,0.059689
465852,SOCIAL,LR,0.315731,0.115240
480141,SOCIAL,LR,0.413613,0.057669
486759,SOCIAL,LR,0.131439,0.076694
547046,SOCIAL,LR,0.112100,0.058782
552544,SOCIAL,LR,0.155184,0.057903
592455,SOCIAL,LR,0.673659,0.110399
622236,SOCIAL,LR,0.186531,0.066744
679568,SOCIAL,LR,0.149534,0.079449
715041,SOCIAL,LR,0.236345,0.066802
749361,SOCIAL,LR,0.256022,0.096036
753251,SOCIAL,LR,0.853257,0.102921
771354,SOCIAL,LR,0.165322,0.068093
782561,SOCIAL,LR,0.175790,0.056481
837560,SOCIAL,LR,0.074857,0.049592
845458,SOCIAL,LR,0.257007,0.103335
849971,SOCIAL,LR,0.257653,0.071570
871964,SOCIAL,LR,0.317066,0.074681
100307,WM,LR,0.259323,0.063951
100408,WM,LR,0.773338,0.135455
101006,WM,LR,0.273675,0.087186
101107,WM,LR,0.476697,0.048925
101309,WM,LR,0.457543,0.054483
101410,WM,LR,0.529787,0.095642
101915,WM,LR,0.429712,0.065974
102008,WM,LR,0.246059,0.107656
102311,WM,LR,0.657897,0.062436
102816,WM,LR,0.422705,0.097110
103111,WM,LR,0.460813,0.098442
103515,WM,LR,2.616840,0.173551
103818,WM,LR,0.535046,0.110017
105014,WM,LR,0.667697,0.079384
105115,WM,LR,0.299517,0.058770
105216,WM,LR,0.537520,0.060920
106016,WM,LR,0.857327,0.091955
106521,WM,LR,0.605468,0.077596
107321,WM,LR,0.786629,0.087607
107422,WM,LR,0.122704,0.067765
108121,WM,LR,0.731004,0.160274
108323,WM,LR,0.171272,0.046354
108525,WM,LR,0.900347,0.084532
108828,WM,LR,0.421106,0.079922
109123,WM,LR,0.226434,0.101283
109325,WM,LR,0.318708,0.141911
110411,WM,LR,0.257265,0.054895
111312,WM,LR,0.394988,0.082167
111413,WM,LR,0.313899,0.067706
111716,WM,LR,0.967795,0.086203
113215,WM,LR,0.181904,0.071970
113922,WM,LR,0.526909,0.074159
114419,WM,LR,0.656187,0.103488
114924,WM,LR,0.501176,0.166086
115320,WM,LR,0.178651,0.136853
116524,WM,LR,1.220350,0.230752
117122,WM,LR,0.482152,0.087835
117324,WM,LR,2.615250,0.093857
118528,WM,LR,0.318014,0.055831
118730,WM,LR,0.396137,0.106765
118932,WM,LR,0.214851,0.104648
119833,WM,LR,0.441027,0.118410
120212,WM,LR,1.042430,0.109503
120515,WM,LR,0.299565,0.114364
121618,WM,LR,0.257488,0.061460
122317,WM,LR,0.373302,0.050384
122620,WM,LR,0.312735,0.067167
123117,WM,LR,0.379467,0.151266
123420,WM,LR,0.681293,0.132156
123925,WM,LR,0.493292,0.099613
124220,WM,LR,1.306200,0.206695
125525,WM,LR,0.514124,0.077190
126325,WM,LR,1.121030,0.131078
126628,WM,LR,0.804345,0.114793
127630,WM,LR,0.186962,0.137114
127933,WM,LR,0.276457,0.052578
128127,WM,LR,0.241271,0.056706
128632,WM,LR,0.534547,0.068928
129028,WM,LR,0.129785,0.073791
130013,WM,LR,0.446843,0.083348
130316,WM,LR,0.631474,0.113682
131217,WM,LR,0.483616,0.087430
131722,WM,LR,0.501129,0.097269
133019,WM,LR,0.444201,0.067043
133827,WM,LR,0.404582,0.060281
133928,WM,LR,0.160354,0.049282
134324,WM,LR,0.334013,0.074991
135225,WM,LR,0.463561,0.082224
135528,WM,LR,0.186803,0.076062
136227,WM,LR,0.130091,0.071039
136833,WM,LR,0.376741,0.100289
137027,WM,LR,0.391782,0.053926
138534,WM,LR,0.131696,0.072916
139233,WM,LR,0.857982,0.119249
139637,WM,LR,0.203894,0.083099
140925,WM,LR,0.210414,0.159901
144832,WM,LR,0.930483,0.105787
146432,WM,LR,0.231963,0.080043
147030,WM,LR,0.445043,0.217989
147737,WM,LR,0.605630,0.092697
148335,WM,LR,0.384311,0.134506
148840,WM,LR,0.211643,0.063197
148941,WM,LR,1.095940,0.064183
149741,WM,LR,0.741638,0.119629
150423,WM,LR,0.262548,0.038552
150726,WM,LR,0.294573,0.081405
151223,WM,LR,0.478572,0.153252
151526,WM,LR,1.365300,0.101530
151627,WM,LR,0.482820,0.054464
