subj,task,run,abs_mean,rel_mean
151728,WM,LR,1.237820,0.171552
153833,WM,LR,0.619934,0.158463
154734,WM,LR,0.676318,0.058922
154835,WM,LR,1.062550,0.084805
154936,WM,LR,0.984453,0.078086
155231,WM,LR,0.648580,0.070927
156233,WM,LR,1.641830,0.305411
156637,WM,LR,0.613549,0.163859
157437,WM,LR,4.329460,0.100833
158136,WM,LR,0.214195,0.076919
159138,WM,LR,0.343669,0.096108
159239,WM,LR,0.197148,0.074146
159340,WM,LR,0.456652,0.151031
159441,WM,LR,0.923791,0.117418
160830,WM,LR,0.578533,0.082610
161630,WM,LR,0.236844,0.123500
162228,WM,LR,0.165736,0.059606
162733,WM,LR,0.449192,0.116847
163331,WM,LR,0.273727,0.187379
163432,WM,LR,0.281994,0.077619
164030,WM,LR,0.113535,0.049842
164131,WM,LR,1.569130,0.115659
164939,WM,LR,1.058860,0.098430
167036,WM,LR,1.011680,0.061633
167743,WM,LR,0.424497,0.125544
168139,WM,LR,0.389080,0.094230
168341,WM,LR,0.609630,0.061572
169444,WM,LR,0.227399,0.061687
170934,WM,LR,0.191274,0.092661
172029,WM,LR,0.511590,0.080524
172332,WM,LR,0.585448,0.088876
172534,WM,LR,0.405068,0.051592
172938,WM,LR,0.273196,0.110181
173435,WM,LR,0.216911,0.049036
173940,WM,LR,0.273990,0.055884
176542,WM,LR,0.641174,0.042637
177645,WM,LR,0.369196,0.058583
178142,WM,LR,0.376364,0.062846
178849,WM,LR,0.186414,0.079525
178950,WM,LR,0.266905,0.063115
180129,WM,LR,0.937962,0.174854
180432,WM,LR,0.621409,0.066383
181232,WM,LR,0.576998,0.071070
182739,WM,LR,0.229682,0.077073
185442,WM,LR,0.156513,0.059076
186141,WM,LR,0.705851,0.082823
187143,WM,LR,0.212663,0.094026
189349,WM,LR,0.180890,0.052106
189450,WM,LR,0.500570,0.090948
190031,WM,LR,0.191995,0.097956
191033,WM,LR,0.389796,0.070975
192540,WM,LR,0.767494,0.068163
195041,WM,LR,0.122167,0.084244
196750,WM,LR,0.291589,0.119438
197550,WM,LR,0.346014,0.113165
198451,WM,LR,0.737831,0.064584
198855,WM,LR,1.023470,0.074536
199655,WM,LR,0.246785,0.066114
199958,WM,LR,0.272302,0.081280
200614,WM,LR,0.215086,0.120241
201818,WM,LR,0.202382,0.059772
203418,WM,LR,0.338246,0.055774
204016,WM,LR,0.358890,0.085861
208226,WM,LR,0.642685,0.096054
210011,WM,LR,0.756354,0.042424
212217,WM,LR,1.310930,0.207645
212318,WM,LR,0.227150,0.159060
214423,WM,LR,0.224403,0.055607
231928,WM,LR,0.429876,0.103860
239944,WM,LR,0.317988,0.061695
245333,WM,LR,0.585754,0.079952
285446,WM,LR,0.405317,0.049672
290136,WM,LR,0.249667,0.070823
304020,WM,LR,0.273640,0.110681
308331,WM,LR,0.843771,0.087299
310621,WM,LR,1.159700,0.116384
316633,WM,LR,0.607851,0.048914
361941,WM,LR,1.485460,0.065216
397760,WM,LR,0.319124,0.116868
414229,WM,LR,0.131528,0.063931
465852,WM,LR,0.351603,0.152681
480141,WM,LR,0.183008,0.057833
486759,WM,LR,0.115763,0.082394
547046,WM,LR,0.345898,0.053648
552544,WM,LR,0.466097,0.052036
592455,WM,LR,0.388720,0.127729
622236,WM,LR,0.218193,0.070319
679568,WM,LR,0.493345,0.046164
715041,WM,LR,0.578794,0.075852
749361,WM,LR,0.379025,0.067853
753251,WM,LR,0.503935,0.100419
771354,WM,LR,0.178708,0.098460
782561,WM,LR,0.578856,0.066187
837560,WM,LR,0.162116,0.044611
845458,WM,LR,0.339588,0.081500
849971,WM,LR,0.153731,0.059654
871964,WM,LR,0.390735,0.056080
100307,GAMBLING,LR,0.113859,0.060984
100408,GAMBLING,LR,0.543360,0.109229
101006,GAMBLING,LR,0.176763,0.093893
101107,GAMBLING,LR,0.130050,0.058747
101309,GAMBLING,LR,0.568397,0.050826
101410,GAMBLING,LR,0.239582,0.105058
101915,GAMBLING,LR,0.401152,0.069736
102008,GAMBLING,LR,0.590843,0.117242
102311,GAMBLING,LR,0.604432,0.062394
102816,GAMBLING,LR,0.214829,0.099888
103111,GAMBLING,LR,0.248849,0.098638
103515,GAMBLING,LR,0.134864,0.114207
103818,GAMBLING,LR,0.220346,0.100764
105014,GAMBLING,LR,0.302231,0.066579
105115,GAMBLING,LR,0.141338,0.052768
105216,GAMBLING,LR,0.126661,0.065090
106016,GAMBLING,LR,0.261097,0.085873
106521,GAMBLING,LR,1.194090,0.074315
107321,GAMBLING,LR,0.266762,0.067618
107422,GAMBLING,LR,0.142668,0.061175
108121,GAMBLING,LR,0.354676,0.160456
108323,GAMBLING,LR,0.117487,0.055255
108525,GAMBLING,LR,0.135398,0.068438
108828,GAMBLING,LR,0.139601,0.072265
109123,GAMBLING,LR,0.171114,0.132247
109325,GAMBLING,LR,0.284863,0.131643
110411,GAMBLING,LR,0.150059,0.048936
111312,GAMBLING,LR,0.379283,0.080505
111413,GAMBLING,LR,0.505746,0.064353
111716,GAMBLING,LR,1.883240,0.077368
113215,GAMBLING,LR,0.242644,0.084506
113922,GAMBLING,LR,0.219199,0.078820
114419,GAMBLING,LR,0.310709,0.080074
114924,GAMBLING,LR,0.209867,0.110956
115320,GAMBLING,LR,0.235869,0.100126
116524,GAMBLING,LR,0.331576,0.139259
117122,GAMBLING,LR,0.122893,0.081284
117324,GAMBLING,LR,0.582509,0.060943
118528,GAMBLING,LR,0.104785,0.062714
118730,GAMBLING,LR,0.191326,0.108575
118932,GAMBLING,LR,0.330211,0.097809
119833,GAMBLING,LR,0.310674,0.121911
120212,GAMBLING,LR,0.653047,0.111879
120515,GAMBLING,LR,0.178476,0.119990
121618,GAMBLING,LR,0.093412,0.062253
122317,GAMBLING,LR,0.191930,0.049003
122620,GAMBLING,LR,0.316892,0.062595
123117,GAMBLING,LR,0.509412,0.135027
123420,GAMBLING,LR,0.350080,0.129617
123925,GAMBLING,LR,0.799221,0.097154
124220,GAMBLING,LR,1.223540,0.203943
125525,GAMBLING,LR,0.119086,0.080719
126325,GAMBLING,LR,0.548751,0.118380
126628,GAMBLING,LR,1.042000,0.122814
127630,GAMBLING,LR,0.546872,0.122263
127933,GAMBLING,LR,0.275920,0.061052
128127,GAMBLING,LR,0.335848,0.053612
128632,GAMBLING,LR,0.167205,0.067059
129028,GAMBLING,LR,0.116889,0.068702
130013,GAMBLING,LR,0.182225,0.080205
130316,GAMBLING,LR,0.495221,0.109317
131217,GAMBLING,LR,0.381923,0.084826
131722,GAMBLING,LR,0.201162,0.115529
133019,GAMBLING,LR,0.385978,0.058639
133827,GAMBLING,LR,0.549542,0.064266
133928,GAMBLING,LR,2.012250,0.071211
134324,GAMBLING,LR,0.187056,0.078588
135225,GAMBLING,LR,0.396359,0.077925
135528,GAMBLING,LR,0.229782,0.060398
136227,GAMBLING,LR,0.145608,0.070951
136833,GAMBLING,LR,0.245925,0.101736
137027,GAMBLING,LR,0.144779,0.062369
138534,GAMBLING,LR,0.154239,0.076714
139233,GAMBLING,LR,0.190013,0.112370
139637,GAMBLING,LR,0.207070,0.091183
140925,GAMBLING,LR,0.163238,0.142351
144832,GAMBLING,LR,0.166275,0.096904
146432,GAMBLING,LR,0.116707,0.077138
147030,GAMBLING,LR,0.328810,0.243316
147737,GAMBLING,LR,0.380689,0.090545
148335,GAMBLING,LR,0.248250,0.127646
148840,GAMBLING,LR,0.145629,0.085372
148941,GAMBLING,LR,0.801044,0.060646
149741,GAMBLING,LR,2.517820,0.127827
150423,GAMBLING,LR,0.115341,0.056517
150726,GAMBLING,LR,0.255796,0.088057
151223,GAMBLING,LR,0.489536,0.147411
151526,GAMBLING,LR,0.237084,0.083833
151627,GAMBLING,LR,0.138475,0.064875
151728,GAMBLING,LR,0.223406,0.153720
153833,GAMBLING,LR,0.377880,0.162107
154734,GAMBLING,LR,0.258775,0.066264
154835,GAMBLING,LR,0.176053,0.116923
154936,GAMBLING,LR,0.667519,0.106675
155231,GAMBLING,LR,0.237928,0.070251
156233,GAMBLING,LR,5.424540,0.204133
156637,GAMBLING,LR,0.666083,0.168973
157437,GAMBLING,LR,0.606547,0.115882
158136,GAMBLING,LR,0.185519,0.096501
159138,GAMBLING,LR,0.327001,0.089530
159239,GAMBLING,LR,0.121487,0.074011
159340,GAMBLING,LR,0.355527,0.117956
159441,GAMBLING,LR,0.366798,0.076658
160830,GAMBLING,LR,0.996587,0.075394
161630,GAMBLING,LR,0.150795,0.130437
162228,GAMBLING,LR,0.100168,0.062663
162733,GAMBLING,LR,0.257500,0.105662
163331,GAMBLING,LR,0.241543,0.189232
163432,GAMBLING,LR,0.127506,0.063431
164030,GAMBLING,LR,0.081138,0.055736
164131,GAMBLING,LR,2.004770,0.142652
164939,GAMBLING,LR,0.545811,0.116416
167036,GAMBLING,LR,0.453512,0.060128
167743,GAMBLING,LR,0.329800,0.117799
168139,GAMBLING,LR,0.189873,0.089075
168341,GAMBLING,LR,0.371705,0.079557
169444,GAMBLING,LR,0.116286,0.057128
170934,GAMBLING,LR,0.211451,0.102030
172029,GAMBLING,LR,0.616775,0.078198
172332,GAMBLING,LR,0.423900,0.078708
172534,GAMBLING,LR,0.750549,0.066569
172938,GAMBLING,LR,0.192733,0.112491
173435,GAMBLING,LR,0.137532,0.052340
173940,GAMBLING,LR,0.171017,0.055921
176542,GAMBLING,LR,0.151091,0.045209
177645,GAMBLING,LR,0.159450,0.043282
178142,GAMBLING,LR,0.297663,0.056757
178849,GAMBLING,LR,0.261079,0.081348
178950,GAMBLING,LR,0.171634,0.063122
180129,GAMBLING,LR,0.527035,0.124684
180432,GAMBLING,LR,0.276826,0.063657
181232,GAMBLING,LR,0.509128,0.057651
182739,GAMBLING,LR,0.292020,0.074503
185442,GAMBLING,LR,0.167221,0.055594
186141,GAMBLING,LR,0.139444,0.091652
187143,GAMBLING,LR,0.129837,0.097188
189349,GAMBLING,LR,0.293551,0.040495
189450,GAMBLING,LR,0.459427,0.076938
190031,GAMBLING,LR,0.261687,0.119922
191033,GAMBLING,LR,0.241333,0.062069
192540,GAMBLING,LR,0.596303,0.060987
195041,GAMBLING,LR,0.081963,0.088325
196750,GAMBLING,LR,0.357662,0.099613
197550,GAMBLING,LR,0.225848,0.126730
198451,GAMBLING,LR,0.425808,0.065804
198855,GAMBLING,LR,0.248149,0.060130
199655,GAMBLING,LR,0.072208,0.064543
199958,GAMBLING,LR,0.354574,0.088387
200614,GAMBLING,LR,0.206032,0.107203
201818,GAMBLING,LR,0.094804,0.050031
203418,GAMBLING,LR,0.333196,0.074112
204016,GAMBLING,LR,0.611385,0.119317
208226,GAMBLING,LR,0.683010,0.099561
210011,GAMBLING,LR,0.117441,0.045813
212217,GAMBLING,LR,0.308012,0.135873
212318,GAMBLING,LR,0.269312,0.139705
214423,GAMBLING,LR,0.116683,0.062168
231928,GAMBLING,LR,0.354285,0.098822
239944,GAMBLING,LR,0.241189,0.064535
245333,GAMBLING,LR,0.170943,0.054316
285446,GAMBLING,LR,0.156268,0.053688
290136,GAMBLING,LR,0.163409,0.060946
304020,GAMBLING,LR,0.123377,0.087476
308331,GAMBLING,LR,0.658650,0.099108
310621,GAMBLING,LR,0.167633,0.074070
316633,GAMBLING,LR,0.739540,0.049205
361941,GAMBLING,LR,0.541647,0.082559
397760,GAMBLING,LR,0.190630,0.131618
414229,GAMBLING,LR,0.117466,0.052875
465852,GAMBLING,LR,0.292732,0.139942
480141,GAMBLING,LR,0.204648,0.071227
486759,GAMBLING,LR,0.204410,0.067331
547046,GAMBLING,LR,0.241633,0.054916
552544,GAMBLING,LR,0.299413,0.037539
592455,GAMBLING,LR,0.460350,0.120507
622236,GAMBLING,LR,0.338852,0.060323
679568,GAMBLING,LR,0.217526,0.047392
715041,GAMBLING,LR,0.241341,0.105809
749361,GAMBLING,LR,0.165228,0.049968
753251,GAMBLING,LR,1.067690,0.096557
771354,GAMBLING,LR,0.169457,0.081346
782561,GAMBLING,LR,0.188386,0.078065
837560,GAMBLING,LR,0.103675,0.042802
845458,GAMBLING,LR,0.699954,0.078607
849971,GAMBLING,LR,0.145196,0.060485
871964,GAMBLING,LR,0.355026,0.054745
100307,EMOTION,LR,0.107754,0.055115
100408,EMOTION,LR,0.157015,0.112409
101006,EMOTION,LR,0.401193,0.067245
101107,EMOTION,LR,0.261992,0.067665
101309,EMOTION,LR,1.107670,0.055500
101410,EMOTION,LR,0.179887,0.097945
101915,EMOTION,LR,0.193138,0.077168
102008,EMOTION,LR,0.254613,0.138655
102311,EMOTION,LR,1.076200,0.065435
102816,EMOTION,LR,0.329038,0.114537
103111,EMOTION,LR,0.216280,0.098615
103515,EMOTION,LR,0.959101,0.126602
103818,EMOTION,LR,0.327432,0.096978
105014,EMOTION,LR,0.085731,0.067038
105115,EMOTION,LR,0.248094,0.065613
105216,EMOTION,LR,0.367081,0.051248
106016,EMOTION,LR,0.129902,0.077343
106521,EMOTION,LR,0.335178,0.077352
107321,EMOTION,LR,0.195332,0.044372
107422,EMOTION,LR,0.072696,0.057262
108121,EMOTION,LR,0.261874,0.181680
108323,EMOTION,LR,0.415968,0.060346
108525,EMOTION,LR,1.251680,0.098532
108828,EMOTION,LR,0.382589,0.092918
109123,EMOTION,LR,0.211269,0.086117
109325,EMOTION,LR,0.479413,0.132379
110411,EMOTION,LR,0.106373,0.060446
111312,EMOTION,LR,0.271204,0.069610
111413,EMOTION,LR,0.356243,0.078014
111716,EMOTION,LR,0.167262,0.086571
113215,EMOTION,LR,0.167078,0.054379
113922,EMOTION,LR,0.104551,0.071257
114419,EMOTION,LR,0.249320,0.100001
114924,EMOTION,LR,0.195126,0.190722
115320,EMOTION,LR,0.185202,0.109045
116524,EMOTION,LR,2.002270,0.152686
117122,EMOTION,LR,0.150086,0.073926
117324,EMOTION,LR,0.835820,0.080911
118528,EMOTION,LR,0.150827,0.083543
118730,EMOTION,LR,0.234232,0.092738
118932,EMOTION,LR,0.303645,0.075435
119833,EMOTION,LR,0.633508,0.090729
120212,EMOTION,LR,0.204626,0.119880
120515,EMOTION,LR,0.120473,0.077453
121618,EMOTION,LR,0.187551,0.066839
122317,EMOTION,LR,0.228233,0.067963
122620,EMOTION,LR,0.262992,0.052838
123117,EMOTION,LR,0.210715,0.133678
123420,EMOTION,LR,0.504022,0.125215
123925,EMOTION,LR,0.668020,0.106563
124220,EMOTION,LR,0.256417,0.195909
125525,EMOTION,LR,0.356745,0.076201
126325,EMOTION,LR,0.290527,0.099549
126628,EMOTION,LR,0.701845,0.136670
127630,EMOTION,LR,0.377166,0.152416
127933,EMOTION,LR,0.240748,0.049610
128127,EMOTION,LR,0.084517,0.044257
128632,EMOTION,LR,0.434793,0.087283
129028,EMOTION,LR,0.106873,0.047435
130013,EMOTION,LR,0.333244,0.079232
130316,EMOTION,LR,0.323854,0.123165
131217,EMOTION,LR,0.267423,0.065854
131722,EMOTION,LR,0.247435,0.088795
133019,EMOTION,LR,0.646450,0.072854
133827,EMOTION,LR,0.255810,0.121001
133928,EMOTION,LR,0.771315,0.070497
134324,EMOTION,LR,0.478880,0.110151
135225,EMOTION,LR,0.341368,0.049730
135528,EMOTION,LR,0.243555,0.073707
136227,EMOTION,LR,0.161631,0.062554
136833,EMOTION,LR,0.369364,0.079268
137027,EMOTION,LR,0.163776,0.049004
138534,EMOTION,LR,0.078631,0.048539
139233,EMOTION,LR,0.184980,0.116171
139637,EMOTION,LR,0.136962,0.079118
140925,EMOTION,LR,0.813375,0.182299
144832,EMOTION,LR,0.848390,0.062993
146432,EMOTION,LR,0.223654,0.074802
147030,EMOTION,LR,0.222178,0.213877
147737,EMOTION,LR,0.237074,0.095214
148335,EMOTION,LR,0.207316,0.131435
148840,EMOTION,LR,0.098929,0.076231
148941,EMOTION,LR,0.264818,0.062624
149741,EMOTION,LR,0.305228,0.101745
150423,EMOTION,LR,0.121129,0.060651
