subj,WorkingMemory,Reward
100206,3.220605,0.027755
101309,1.066403,0.442992
101410,1.724045,0.687049
101915,3.251476,-0.114944
105923,0.762236,0.965303
108525,1.467742,1.566333
109325,-1.083419,0.052140
110411,-0.229223,-0.223881
111716,2.437595,1.459028
112314,0.209909,1.453284
112920,0.429497,0.150235
113215,3.386678,1.111050
114823,-0.087861,-0.824133
118124,0.455930,-0.001954
118528,4.024558,0.943455
118932,-1.219209,0.624797
119126,0.904387,1.765979
119732,0.045091,-1.713423
120515,-1.095403,2.383965
121416,0.951143,-2.423892
122317,0.123683,0.466862
124624,-0.040806,0.724400
127327,1.465916,-0.933982
127630,2.863550,0.190003
129634,-1.465696,-0.722094
130922,1.191468,-1.304189
135225,2.333137,0.361609
135629,4.750804,0.982807
135932,1.127791,0.687083
137633,0.949767,-1.438844
138231,1.369963,0.227570
142828,0.135580,0.301469
144832,0.441933,-0.060379
146533,-2.363549,0.974003
147737,1.345529,0.711282
150019,-0.729912,1.608165
150625,-0.915493,-1.237139
151021,-0.598031,0.336181
151627,-1.730057,-1.529978
151829,-2.578181,-0.764677
152427,0.172739,-2.145508
153025,0.050247,0.616312
153126,2.882847,-0.121164
153631,-2.854174,-1.471124
154734,2.230233,0.645476
155635,2.869264,-0.242511
156637,0.052212,-2.668285
157437,0.229567,0.214992
158035,-1.680407,-1.334786
159744,0.358158,-0.418377
162228,0.563068,-0.653216
162733,1.442695,0.103421
164939,0.359966,-0.059339
165941,-2.644436,0.059996
166640,2.265300,3.110645
168139,-0.077093,-1.123767
169545,2.859667,1.227324
173233,-2.319617,-0.984717
173435,2.447269,1.163720
173536,0.467895,0.371144
173839,-2.976335,0.753835
173940,-3.612064,-0.620695
174437,0.977851,1.788651
175136,-1.371954,0.195585
175338,1.341805,-0.074894
175742,1.789172,-0.588038
176441,1.836492,-0.799163
176845,-0.944738,0.308817
178748,0.560642,-1.926446
178950,-1.040298,-0.135070
180230,-2.073611,1.247873
180836,1.237346,-0.439727
181131,0.045261,0.341650
187143,1.930571,-1.196802
188145,-3.586864,1.693452
188347,-2.138996,0.999804
188448,0.060794,0.219907
188549,-3.062054,2.037861
191235,4.368142,1.778734
192843,-0.344867,-0.877306
193239,0.091099,1.023811
196144,-4.066499,1.745771
196346,0.545526,-0.614878
198350,-1.054227,0.566865
199958,-1.482949,0.019901
202113,2.754582,1.216370
204622,1.452831,-0.299250
206828,4.237849,-0.618806
208125,-1.354822,1.163084
208226,0.645119,1.763856
208327,0.527801,0.913307
209935,2.111999,-1.212662
210415,-1.117368,-0.666691
211114,0.256923,0.926353
211215,5.539834,-0.668726
211619,2.837568,-0.033476
211720,0.413799,1.651821
217429,0.958524,0.357690
224022,3.747348,1.678320
237334,-0.852998,-1.129685
250932,1.122879,0.399356
256540,2.063736,1.332439
275645,-1.672202,1.035360
304020,-2.026510,-1.077676
305830,1.523767,0.942232
308331,1.422300,1.180841
317332,1.182163,-0.036286
329844,0.677206,-0.622240
334635,-0.736121,0.942796
346137,-0.467442,0.236657
349244,1.307398,1.396025
350330,4.987938,-0.796408
355239,-0.556948,-0.685694
378857,0.444468,0.047694
379657,0.447222,-0.381243
381543,-1.295364,-0.924427
394956,1.452723,-0.608109
406432,1.646027,-0.426779
419239,-1.784744,-0.658057
436239,-1.394061,1.416437
445543,3.883572,-0.968486
459453,1.679200,0.834700
475855,-2.743009,-0.517051
510326,-0.616045,-0.263716
513736,-1.374308,-1.049896
522434,-0.472407,-0.330125
529549,-2.399850,1.470259
530635,-0.015279,-0.802968
540436,-0.996464,0.487977
553344,-0.549161,0.633225
555651,-0.353120,-0.030893
559457,-1.701980,0.173014
566454,5.494929,1.150669
571144,1.038795,0.405786
580650,-1.875287,1.616329
581349,-1.819803,-0.074623
587664,1.138988,0.063861
588565,-1.949166,-0.356177
594156,-0.181829,-1.356448
599671,-3.225371,0.671843
604537,-0.994025,0.504202
614439,0.917902,1.578877
615744,-1.817657,-0.837415
616645,7.147960,1.645628
620434,-1.753385,0.309632
622236,0.100585,-0.406777
626648,-0.498736,-0.656047
645450,0.945092,0.644209
645551,2.805616,0.309894
654350,3.235419,0.303626
663755,-1.021467,-0.270918
668361,NaN,1.947357
673455,2.556460,-0.492298
693764,3.476202,0.308597
701535,-0.656444,-0.078118
756055,0.965978,1.288487
761957,-0.994229,1.910970
774663,-2.953180,3.382697
788876,1.234008,1.724178
793465,3.321331,-0.763161
803240,2.126337,-0.365432
810843,-0.509253,2.821547
815247,-0.537650,0.339304
816653,1.823517,-0.148040
825654,-2.112013,0.314662
828862,-1.963542,1.271820
833148,0.522664,-1.460505
841349,0.283756,0.998773
849264,1.795152,-0.769831
856766,-0.850208,0.372833
856968,-0.453447,-0.973138
865363,1.997755,-1.132718
872562,-1.052061,-2.443376
873968,4.096732,-2.145800
877269,1.204000,0.664524
880157,2.527661,1.673503
894067,1.730601,-0.130381
902242,-2.434307,0.271388
904044,-3.985128,-0.231449
922854,-0.764935,-0.322086
930449,0.984029,1.682768
932554,2.658191,3.539898
942658,1.378884,-1.359262
952863,-0.589060,0.332025
965367,-1.635028,0.751746
979984,-1.694961,1.087995
987074,1.410571,-1.233939
990366,0.899093,-0.314117
993675,0.684262,0.598100
