subj,WorkingMemory,Reward
100206,-3.775321,0.412550
101309,-3.978537,0.343993
101410,-0.810440,-0.124750
101915,0.731174,0.564544
105923,-1.198604,0.815160
108525,0.059858,0.410119
109325,-1.307378,-1.323018
110411,-3.357057,0.654934
111716,0.943757,-1.146709
112314,-1.016927,-0.571667
112920,-0.533899,-0.352308
113215,-1.619761,-0.164637
114823,-0.786113,0.893327
118124,-0.737888,-2.138433
118528,0.417029,-1.475805
118932,-0.196777,-0.913957
119126,-1.665076,1.158125
119732,0.703739,-2.160572
120515,0.407559,-1.101465
121416,1.104784,-3.012499
122317,-0.404659,-1.368775
124624,0.837009,-0.170332
127327,-0.102058,-0.017170
127630,2.456589,-0.159252
129634,-1.157527,-0.991342
130922,1.538791,-0.143803
135225,-1.563127,0.368132
135629,6.174448,-0.165048
135932,0.508399,-0.485692
137633,3.883325,0.408951
138231,0.290600,-0.214159
142828,0.459248,-0.250818
144832,-0.388175,-0.922450
146533,-2.474190,1.966865
147737,-0.269999,0.220731
150019,2.690351,0.068087
150625,-0.755128,-0.326626
151021,0.143771,-0.136699
151627,0.017396,-0.301497
151829,-0.100285,-0.300560
152427,1.573721,-1.345778
153025,-0.718633,-0.062941
153126,-1.301917,-1.054496
153631,2.326415,-0.112519
154734,1.600197,0.325007
155635,2.177840,-0.938149
156637,1.293638,0.178301
157437,2.533538,-1.021282
158035,2.648617,0.468391
159744,0.719401,-1.751493
162228,2.794475,-0.559590
162733,-0.444066,0.569660
164939,-0.805079,1.815522
165941,-0.810528,1.638845
166640,1.169508,0.275839
168139,0.202077,-0.889633
169545,-2.784832,1.167032
173233,-0.796761,1.576384
173435,2.090093,-0.761271
173536,-0.544766,0.325188
173839,0.194472,-1.736573
173940,-1.278158,0.093817
174437,0.282481,-1.488283
175136,0.250870,0.333857
175338,0.101407,-0.251163
175742,2.535673,0.350050
176441,-1.575420,1.541549
176845,-0.694223,-1.401467
178748,-0.721849,-0.799718
178950,-0.889406,-0.179039
180230,4.011112,-0.154408
180836,-0.552625,-0.910769
181131,1.085552,-0.622415
187143,0.873975,-1.270560
188145,-0.972872,0.801400
188347,3.238248,2.812687
188448,1.372918,0.323745
188549,1.323312,-1.092205
191235,5.067227,2.283435
192843,3.649065,-0.407588
193239,-0.383547,-1.008971
196144,3.865732,2.210615
196346,-1.003176,-1.944033
198350,-0.904200,-0.183742
199958,-1.420027,1.054473
202113,1.361464,-0.199480
204622,-2.445509,-0.431714
206828,-2.646990,-1.216085
208125,-2.071048,1.467261
208226,2.511276,0.908413
208327,0.222090,1.606583
209935,-0.197331,0.804998
210415,0.308012,-0.082179
211114,0.203050,-0.363969
211215,0.446257,1.038023
211619,2.704897,-0.747635
211720,1.997862,-0.324476
217429,-1.427060,1.091111
224022,3.689456,0.227608
237334,0.318877,-0.117816
250932,-0.439436,0.572058
256540,0.680866,-2.151866
275645,2.708547,0.318843
304020,1.617554,1.495847
305830,3.845854,-0.673847
308331,-0.348724,-0.076536
317332,-0.115962,-2.401804
329844,3.489797,0.017091
334635,1.915571,0.626969
346137,2.534445,-0.524895
349244,2.033465,-0.534352
350330,0.343861,1.640451
355239,-0.991378,1.114592
378857,-0.875975,-0.633052
379657,-0.657878,-1.417701
381543,-0.835650,0.209991
394956,-2.352651,-0.774253
406432,0.925638,-0.565841
419239,0.023518,-0.064130
436239,3.960744,0.094012
445543,2.130177,-1.467892
459453,-0.130797,1.016527
475855,0.177871,-1.839453
510326,1.178199,-0.203456
513736,-0.056229,-1.008352
522434,0.978831,-0.701614
529549,-2.795953,1.152650
530635,-1.265696,0.545427
540436,1.846833,-0.876475
553344,0.321499,0.533951
555651,2.583759,1.436585
559457,0.845694,-0.123664
566454,2.711914,-0.245817
571144,0.881740,0.762879
580650,1.677625,-0.292566
581349,-0.804047,-0.006129
587664,-1.650954,0.317601
588565,-0.902368,0.089098
594156,0.698131,-1.081101
599671,-0.473306,-2.552744
604537,-2.041069,-1.032149
614439,-0.217688,-2.555554
615744,-1.358887,-0.711457
616645,4.186426,0.246724
620434,-0.290473,-0.315431
622236,-0.416235,2.070930
626648,0.440843,-1.539781
645450,0.085361,-0.126209
645551,1.553242,-0.281994
654350,0.133690,-0.242300
663755,0.174809,-0.687625
668361,NaN,0.810835
673455,1.588291,-0.530857
693764,2.023687,1.422112
701535,-0.083561,1.472375
756055,-0.209844,-1.565746
761957,0.255915,0.148204
774663,-2.581775,2.319002
788876,2.926258,1.671661
793465,5.477122,0.574521
803240,-2.146483,-0.632382
810843,-0.554994,1.957885
815247,-2.908303,-0.881246
816653,3.505478,-0.298708
825654,-0.891249,-0.223762
828862,0.396816,1.295787
833148,-1.520395,0.577254
841349,0.255173,-0.865858
849264,3.550859,-0.774344
856766,1.462152,2.055706
856968,-2.792364,0.448596
865363,0.865188,-0.793513
872562,-3.724231,-2.756033
873968,-3.289785,-0.963120
877269,1.288169,-1.403445
880157,0.614964,0.582020
894067,1.425110,-3.052545
902242,-0.909784,0.249672
904044,-2.688878,-0.900714
922854,0.269323,0.374561
930449,2.630364,-0.589861
932554,-0.245040,2.525897
942658,-1.913360,1.390934
952863,-0.875938,1.533901
965367,1.108232,0.049695
979984,-0.683425,-1.059816
987074,-1.042432,-1.352363
990366,-0.363194,0.066444
993675,-2.481336,-1.676913
