subj,WorkingMemory,Reward
100206,-1.087139,0.246360
101309,-3.423731,1.606511
101410,-0.676427,-0.411928
101915,-0.194391,1.005291
105923,0.222679,0.303394
108525,0.599393,0.344279
109325,-0.785981,-0.545786
110411,0.036201,-2.304930
111716,0.020255,-1.614509
112314,0.160267,1.494637
112920,-1.023824,-0.029872
113215,-0.031597,2.219108
114823,-0.378579,0.010568
118124,0.353702,-0.582258
118528,-0.185197,0.802813
118932,0.306418,-0.788409
119126,-1.563327,-0.415169
119732,0.729181,1.049263
120515,1.436032,-0.056593
121416,0.121897,-0.085896
122317,0.093252,0.119480
124624,-0.025348,-1.425424
127327,-0.887998,0.599276
127630,0.986604,-0.378645
129634,1.013181,0.408125
130922,0.458838,0.316150
135225,0.002432,1.043812
135629,-0.505242,1.827395
135932,2.162543,-0.953073
137633,-1.822852,1.872911
138231,1.119316,0.098759
142828,-0.026024,0.438777
144832,-0.360784,1.175890
146533,0.283645,1.837719
147737,1.963010,1.092979
150019,0.288275,-1.824845
150625,0.719916,0.204007
151021,-0.551016,1.296275
151627,-3.729256,0.857843
151829,0.415749,-0.140595
152427,1.157999,-2.737282
153025,2.228055,0.723858
153126,-0.738148,0.992445
153631,-0.620667,0.194703
154734,0.563448,-1.048197
155635,0.121380,-1.707203
156637,0.478446,-0.636868
157437,0.264278,0.691288
158035,1.077572,1.352310
159744,0.851690,0.769410
162228,-0.975056,1.504846
162733,-0.934876,1.160292
164939,-1.305479,-1.507947
165941,1.947763,0.983865
166640,-0.500770,0.713719
168139,-1.621534,-0.066182
169545,-1.096015,-0.294632
173233,1.289494,-0.341983
173435,1.533167,-1.694593
173536,1.214902,-1.070284
173839,-0.649348,0.222968
173940,-0.632581,1.882868
174437,-1.212580,-0.566342
175136,0.351890,0.176883
175338,-1.212646,-0.027920
175742,-0.991349,0.020608
176441,0.158807,2.013450
176845,0.633439,-0.041468
178748,0.430980,-0.182381
178950,-0.103247,0.289637
180230,0.731589,1.563534
180836,-1.934761,1.122899
181131,-2.050903,0.330721
187143,-0.116357,-1.107770
188145,1.528995,0.440948
188347,-0.714551,0.640550
188448,-3.050571,1.756687
188549,-0.507980,0.774070
191235,-0.969101,-0.139075
192843,0.539482,-0.534527
193239,-1.089265,0.570479
196144,1.781339,-4.468825
196346,0.209151,-1.747045
198350,1.119307,0.181223
199958,0.502977,-0.130317
202113,1.499944,-0.617933
204622,-0.078655,0.347403
206828,-1.458388,-0.709525
208125,-0.803522,0.085353
208226,0.377078,-1.129654
208327,-0.549285,0.198266
209935,-0.194857,-1.462815
210415,-1.329430,1.712225
211114,0.803381,2.147310
211215,0.200849,2.239051
211619,-0.017510,-1.623024
211720,-0.816146,0.258740
217429,-1.089379,-0.256978
224022,-3.094037,-1.804658
237334,-0.450261,2.021246
250932,0.599786,-0.513328
256540,0.480121,0.884996
275645,-1.548208,2.230819
304020,0.590674,0.245989
305830,-0.470229,-1.186751
308331,0.030098,1.531828
317332,-1.414540,1.297295
329844,-0.128427,-2.101468
334635,1.080093,-0.651014
346137,-0.437655,-0.107817
349244,-0.144048,-2.632434
350330,-0.041361,-0.608267
355239,2.276317,-0.422064
378857,2.170680,1.238545
379657,-1.611411,-1.826359
381543,0.963286,-0.281468
394956,-1.116807,-1.398913
406432,1.167229,-1.294574
419239,-0.096352,0.945519
436239,-1.776257,1.569721
445543,0.447383,-1.055585
459453,-0.392343,0.190289
475855,0.762329,0.103542
510326,-0.562323,0.301460
513736,-1.609115,1.158521
522434,0.900389,-0.552655
529549,-1.736415,0.232274
530635,0.052659,-0.768026
540436,-0.829203,0.400616
553344,0.626350,-0.176994
555651,0.149843,0.335272
559457,0.788629,2.226310
566454,1.394688,-1.016232
571144,0.162296,1.205009
580650,0.126046,0.456357
581349,0.959069,-0.157830
587664,1.376559,0.799417
588565,0.862532,0.120089
594156,-0.143580,-0.529421
599671,-1.094198,-0.688240
604537,-0.826420,0.352772
614439,1.467836,0.816367
615744,-0.253457,-0.064798
616645,-0.739835,1.941103
620434,-1.099754,0.553238
622236,-1.200038,1.868185
626648,-0.057448,1.085111
645450,1.015867,0.719767
645551,-0.997347,-1.270891
654350,0.068642,-0.755574
663755,0.672290,-0.543316
668361,NaN,1.802489
673455,0.821308,-2.077782
693764,-1.303705,-0.992046
701535,0.074665,-1.005404
756055,-1.997168,3.486337
761957,0.119828,0.706498
774663,-0.004794,-0.087183
788876,-0.591190,2.745852
793465,0.870474,-0.943467
803240,2.477400,-1.150068
810843,1.225055,1.451364
815247,-0.755525,-0.269285
816653,1.652661,0.125035
825654,-0.395066,1.459581
828862,-1.524360,-0.578953
833148,0.282321,0.891378
841349,0.652310,-0.731814
849264,1.090203,-1.298043
856766,0.466718,0.073167
856968,0.111001,-0.619291
865363,1.619325,-0.297351
872562,-5.421601,0.223904
873968,-3.617630,-1.273242
877269,0.796317,0.192945
880157,-0.490152,0.117926
894067,1.227136,0.835020
902242,-0.673113,-0.560545
904044,0.779161,0.624725
922854,-1.549137,2.131203
930449,0.070308,0.750609
932554,1.286526,0.502261
942658,2.490677,0.837525
952863,-1.485586,1.006970
965367,0.528438,0.638271
979984,0.407324,-2.091827
987074,0.287585,2.148921
990366,0.091411,-0.609073
993675,-1.192859,0.939894
